check_id,category,item,status,evidence,required_action
STRUCT-001,required_section,Title,PASS,L8: # Evidence-State Reliability in Multi-Stage LLM Decision Pipelines | L289: # Pilot 05AS Figure Caption Pack | L312: # Pilot 05AS Paper Table Pack,
STRUCT-002,required_section,Abstract,PASS,L14: ## Abstract,
STRUCT-003,required_section,Keywords,PASS,L18: ## Keywords,
STRUCT-004,required_section,Introduction,PASS,L22: ## 1. Introduction,
STRUCT-005,required_section,Related work,PASS,L56: ## 2.4 Related work and bounded novelty position,
STRUCT-006,required_section,Conceptual framework,PASS,L42: ## 2. Conceptual framing,
STRUCT-007,required_section,Methods,PASS,L86: ## 3. Methods,
STRUCT-008,required_section,Results,PASS,L168: ## 4. Results,
STRUCT-009,required_section,Discussion,PASS,L508: ## 9. Discussion,
STRUCT-010,required_section,Limitations or threats to validity,PASS,L359: ## Limitations and validity threats | L383: ## 7. Claim boundary and limitations | L422: ## Limitations table from committed outputs | L638: ## Threats to Validity | L667: ### Reproducibility limitations,
STRUCT-011,required_section,Reproducibility,PASS,L160: ## Reproducibility controls | L448: ### Reproducibility validity | L469: ## 8. Reproducibility statement | L667: ### Reproducibility limitations,
STRUCT-012,required_section,Conclusion,PASS,L516: ## 10. Conclusion,
STRUCT-013,required_section,References,PASS,L520: ## References,
STRUCT-014,required_section,Appendix,PASS,L545: ## Appendix A. Next revision roadmap | L577: ## Appendix B. Assembly checkpoint | L584: ## Appendix C. Do-not-claim boundary,
SCAF-001,scaffold_language,Manuscript status,FAIL,L9:  | L10: ## Manuscript status | L11: ,Remove or rewrite as journal-form prose.
SCAF-002,scaffold_language,Synthesis-source table heading,FAIL,L123:  | L124: ## Committed main table used by this synthesis | L125: ,Remove or rewrite as journal-form prose.
SCAF-003,scaffold_language,Metric-validation source heading,FAIL,L141:  | L142: ## Metric validation table used by this synthesis | L143: ,Remove or rewrite as journal-form prose.
SCAF-004,scaffold_language,No-new-evidence process heading,FAIL,L163:  | L164: ## No-new-evidence rule | L165: ,Remove or rewrite as journal-form prose.
SCAF-005,scaffold_language,One-sentence contribution drafting heading,FAIL,L239:  | L240: ## One-sentence contribution | L241: ,Remove or rewrite as journal-form prose.
SCAF-006,scaffold_language,Head-turning drafting language,FAIL,L189:  | L190: This is the central head-turning result. A system may become more parser-valid under degraded evidence while becoming less reliable at the evidence-state layer. That pattern is exactly why Evidence-State Reliability needs to be measured separately from final-output parser validity. | L191:  || L263:  | L264: ## What makes the work potentially head-turning | L265: ,Remove or rewrite as journal-form prose.
SCAF-007,scaffold_language,Recommended table sequence heading,FAIL,L273:  | L274: ## Recommended manuscript table sequence | L275: ,Remove or rewrite as journal-form prose.
SCAF-008,scaffold_language,Recommended figure sequence heading,FAIL,L279:  | L280: ## Recommended manuscript figure sequence | L281: ,Remove or rewrite as journal-form prose.
SCAF-009,scaffold_language,Source caption pack heading,FAIL,L286:  | L287: ## Source caption pack | L288: ,Remove or rewrite as journal-form prose.
SCAF-010,scaffold_language,Source paper table pack heading,FAIL,L309:  | L310: ## Source paper table pack | L311: ,Remove or rewrite as journal-form prose.
SCAF-011,scaffold_language,Do-not-claim drafting heading,FAIL,L388:  | L389: ## Do not claim | L390: ,Remove or rewrite as journal-form prose.
