model_label,condition,condition_label,metric,baseline_successes,baseline_n,baseline_rate,leave_one_task_min_rate,leave_one_task_max_rate,max_abs_rate_shift,task_id_at_max_abs_shift,rate_after_leaving_task,safe_note
GLM-5.2,original_evidence,original_evidence,decision_correct,20,20,1.000000,1.000000,1.000000,0.000000,P03-T0001,1.000000,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
GLM-5.2,original_evidence,original_evidence,escalation_correct,20,20,1.000000,1.000000,1.000000,0.000000,P03-T0001,1.000000,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
GLM-5.2,original_evidence,original_evidence,audit_passed,20,20,1.000000,1.000000,1.000000,0.000000,P03-T0001,1.000000,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
GLM-5.2,missing_policy_rule,missing_policy_rule,decision_correct,10,20,0.500000,0.473684,0.526316,0.026316,P03-T0001,0.526316,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
GLM-5.2,missing_policy_rule,missing_policy_rule,escalation_correct,20,20,1.000000,1.000000,1.000000,0.000000,P03-T0001,1.000000,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
GLM-5.2,missing_policy_rule,missing_policy_rule,audit_passed,2,20,0.100000,0.052632,0.105263,0.047368,P03-T0005,0.052632,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
GLM-5.2,missing_one_required_unit,missing_one_required_unit,decision_correct,10,20,0.500000,0.473684,0.526316,0.026316,P03-T0001,0.526316,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
GLM-5.2,missing_one_required_unit,missing_one_required_unit,escalation_correct,10,20,0.500000,0.473684,0.526316,0.026316,P03-T0001,0.526316,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
GLM-5.2,missing_one_required_unit,missing_one_required_unit,audit_passed,11,20,0.550000,0.526316,0.578947,0.028947,P03-T0001,0.578947,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
Claude Opus 4.8,original_evidence,original_evidence,decision_correct,20,20,1.000000,1.000000,1.000000,0.000000,P03-T0001,1.000000,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
Claude Opus 4.8,original_evidence,original_evidence,escalation_correct,20,20,1.000000,1.000000,1.000000,0.000000,P03-T0001,1.000000,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
Claude Opus 4.8,original_evidence,original_evidence,audit_passed,20,20,1.000000,1.000000,1.000000,0.000000,P03-T0001,1.000000,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
Claude Opus 4.8,missing_policy_rule,missing_policy_rule,decision_correct,10,20,0.500000,0.473684,0.526316,0.026316,P03-T0001,0.526316,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
Claude Opus 4.8,missing_policy_rule,missing_policy_rule,escalation_correct,17,20,0.850000,0.842105,0.894737,0.044737,P03-T0013,0.894737,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
Claude Opus 4.8,missing_policy_rule,missing_policy_rule,audit_passed,0,20,0.000000,0.000000,0.000000,0.000000,P03-T0001,0.000000,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
Claude Opus 4.8,missing_one_required_unit,missing_one_required_unit,decision_correct,10,20,0.500000,0.473684,0.526316,0.026316,P03-T0001,0.526316,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
Claude Opus 4.8,missing_one_required_unit,missing_one_required_unit,escalation_correct,10,20,0.500000,0.473684,0.526316,0.026316,P03-T0001,0.526316,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
Claude Opus 4.8,missing_one_required_unit,missing_one_required_unit,audit_passed,14,20,0.700000,0.684211,0.736842,0.036842,P03-T0006,0.736842,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
