condition,metric,glm_5_2_value,claude_opus_4_8_value,claude_minus_glm,comparison_scope,safe_note
original_evidence,valid_chain_rate,1.0,1.0,0.0,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
original_evidence,decision_correct_rate,1.0,1.0,0.0,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
original_evidence,decision_failure_rate,0.0,0.0,0.0,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
original_evidence,audit_pass_rate,1.0,1.0,0.0,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
original_evidence,audit_false_assurance_rate,0.0,0.0,0.0,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
original_evidence,undetected_decision_failure_rate,0.0,0.0,0.0,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
original_evidence,escalation_correct_rate,1.0,1.0,0.0,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
original_evidence,escalation_recovery_rate_on_decision_failure,,,,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
original_evidence,cascade_failure_rate,0.0,0.0,0.0,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
original_evidence,net_escalation_gain_rate,0.0,0.0,0.0,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
missing_policy_rule,valid_chain_rate,1.0,1.0,0.0,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
