claim_id,claim_text,support_type,external_source_ids,internal_source_boundary,allowed_wording,prohibited_extension
CLM-LIT-01,Final accuracy or parser compliance does not exhaust reliability evaluation.,direct_and_synthetic,SRC-CHECKLIST-2020;SRC-CALIBRATION-2017;SRC-RAGAS-2024;SRC-ARES-2024;SRC-GCD-2023,None required for the literature proposition.,"Prior work motivates separating behavioral, calibration, context, faithfulness, and structural dimensions.",Prior work entirely ignores intermediate evidence.
CLM-LIT-02,Schema validity and substantive correctness can diverge.,direct,SRC-GCD-2023;SRC-CONSTRAINT-TAX-2026;SRC-STRUCTURED-BENCH-2026,Pilot 05 internal evidence is required for the specific direction and magnitude observed in this run.,Structured-output research separates schema conformance from value-level correctness.,This paper is the first to show any validity-correctness divergence.
CLM-LIT-03,Evidence sufficiency is an established adjacent concern.,direct,SRC-INSUFFICIENT-EVIDENCE-2022;SRC-SURE-RAG-2026;SRC-EVIDENCE-DELAY-2026,Pilot 05 defines its own operational evidence-state conditions.,Adjacent work explicitly evaluates insufficient or sufficient evidence.,Evidence-State Reliability has no conceptual antecedents.
CLM-LIT-04,"Error propagation and cascades are established concepts, including emerging LLM-specific work.",direct_and_contextual,SRC-CASCADE-NETWORKS-2002;SRC-SPARK-FIRE-2026;SRC-HALLUCINATION-CASCADE-2026,Pilot 05 evidence is required for the project-specific cascade definition and rates.,The paper adopts a narrower evidence-state cascade operationalization.,The paper invents cascading failure as a concept.
CLM-EMP-01,"In Pilot 05, parser validity improved under degraded evidence while stage/evidence success deteriorated.",internal_empirical_only,,Committed 05AR/05AS/05AT/05AW artifacts at repository checkpoint f05ae265706bff5e408ae80c35f07e019a850d4d.,"Within this experiment, the two metric families moved in opposite directions.",External literature proves this Pilot 05 result or its universal generality.
CLM-EMP-02,Pilot 05 supports Evidence-State Reliability as distinct from parser validity.,internal_empirical_plus_external_positioning,SRC-CHECKLIST-2020;SRC-RAGAS-2024;SRC-ARES-2024;SRC-GCD-2023;SRC-CONSTRAINT-TAX-2026,Committed Pilot 05 outputs supply the actual evidence; literature supplies adjacent distinctions.,The result supports a bounded operational distinction in the studied pipeline.,The distinction is universally established for all LLM systems.
CLM-AUDIT-01,An audit stage is not equivalent to full organizational assurance.,direct_boundary,SRC-AUDIT-2020;SRC-FSB-AI-2017,Pilot 05 defines a computational audit stage only.,The experiment uses a narrower stage-level audit function.,The experiment validates regulatory or enterprise auditability.
CLM-ESC-01,"Deferral, abstention, and escalation should be evaluated separately from base prediction.",direct,SRC-DEFER-2020;SRC-SELECTIVENET-2019,Pilot 05 supplies escalation recovery results.,Escalation is a distinct downstream reliability function.,The tested escalation rule is optimal.
CLM-CFPB-01,CFPB complaint data require bounded interpretation.,direct_official,SRC-CFPB-DATABASE,"The project uses sanitized CFPB-backed packets, not a prevalence sample.",Use as an evaluation substrate with explicit provenance limitations.,"Infer consumer-harm prevalence, verified narratives, representativeness, or company misconduct."
CLM-REPRO-01,Transparent artefacts and reporting strengthen computational reproducibility.,direct,SRC-REPRO-2021,Committed manifests and validators document what is reproducible.,Sanitized artefact-level reproducibility and traceability are supported.,Raw prompt-response replay is available or full computational reproducibility is guaranteed.
