provider,model_name,condition,baseline_condition,metric,baseline_value,condition_value,condition_minus_baseline,safe_note
zai,glm-5.2,original_evidence,original_evidence,decision_correct_rate,1.0,1.0,0.0,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
zai,glm-5.2,original_evidence,original_evidence,decision_failure_rate,0.0,0.0,0.0,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
zai,glm-5.2,original_evidence,original_evidence,audit_pass_rate,1.0,1.0,0.0,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
zai,glm-5.2,original_evidence,original_evidence,audit_false_assurance_rate,0.0,0.0,0.0,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
zai,glm-5.2,original_evidence,original_evidence,undetected_decision_failure_rate,0.0,0.0,0.0,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
zai,glm-5.2,original_evidence,original_evidence,escalation_correct_rate,1.0,1.0,0.0,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
zai,glm-5.2,original_evidence,original_evidence,cascade_failure_rate,0.0,0.0,0.0,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
zai,glm-5.2,original_evidence,original_evidence,net_escalation_gain_rate,0.0,0.0,0.0,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
zai,glm-5.2,missing_policy_rule,original_evidence,decision_correct_rate,1.0,0.5,-0.5,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
zai,glm-5.2,missing_policy_rule,original_evidence,decision_failure_rate,0.0,0.5,0.5,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
