issue_id,severity,manuscript_section,exact_evidence,why_it_matters,required_correction,correction_needs_new_evidence,manuscript_edit_only
FIG-FILENAME-001,MAJOR,Tables and figures,Internal filename appears in manuscript: pilot_05AS_figure_01_parser_vs_evidence_state_divergence.png,Internal artifact names are not publication captions.,Replace the filename heading with 'Figure 1' and a manuscript-appropriate caption.,NO,YES
FIG-FILENAME-002,MAJOR,Tables and figures,Internal filename appears in manuscript: pilot_05AS_figure_02_audit_escalation_interpretation.png,Internal artifact names are not publication captions.,Replace the filename heading with 'Figure 2' and a manuscript-appropriate caption.,NO,YES
FIG-FILENAME-003,MAJOR,Tables and figures,Internal filename appears in manuscript: pilot_05AS_figure_03_cascade_failure_rate.png,Internal artifact names are not publication captions.,Replace the filename heading with 'Figure 3' and a manuscript-appropriate caption.,NO,YES
FIG-FILENAME-004,MAJOR,Tables and figures,Internal filename appears in manuscript: pilot_05AS_figure_04_failure_family_interpretation.png,Internal artifact names are not publication captions.,Replace the filename heading with 'Figure 4' and a manuscript-appropriate caption.,NO,YES
SCAF-001,MAJOR,Manuscript structure/scaffold,L9:  | L10: ## Manuscript status | L11: ,Internal assembly or workflow language makes the draft read like a validated project report rather than a journal paper.,Remove the internal heading or filename and integrate only its scholarly content into the appropriate paper section.,NO,YES
SCAF-002,MAJOR,Manuscript structure/scaffold,L123:  | L124: ## Committed main table used by this synthesis | L125: ,Internal assembly or workflow language makes the draft read like a validated project report rather than a journal paper.,Remove the internal heading or filename and integrate only its scholarly content into the appropriate paper section.,NO,YES
SCAF-003,MAJOR,Manuscript structure/scaffold,L141:  | L142: ## Metric validation table used by this synthesis | L143: ,Internal assembly or workflow language makes the draft read like a validated project report rather than a journal paper.,Remove the internal heading or filename and integrate only its scholarly content into the appropriate paper section.,NO,YES
SCAF-007,MAJOR,Manuscript structure/scaffold,L273:  | L274: ## Recommended manuscript table sequence | L275: ,Internal assembly or workflow language makes the draft read like a validated project report rather than a journal paper.,Remove the internal heading or filename and integrate only its scholarly content into the appropriate paper section.,NO,YES
SCAF-008,MAJOR,Manuscript structure/scaffold,L279:  | L280: ## Recommended manuscript figure sequence | L281: ,Internal assembly or workflow language makes the draft read like a validated project report rather than a journal paper.,Remove the internal heading or filename and integrate only its scholarly content into the appropriate paper section.,NO,YES
SCAF-009,MAJOR,Manuscript structure/scaffold,L286:  | L287: ## Source caption pack | L288: ,Internal assembly or workflow language makes the draft read like a validated project report rather than a journal paper.,Remove the internal heading or filename and integrate only its scholarly content into the appropriate paper section.,NO,YES
