condition,condition_label,metric,n_pairs,glm_rate,claude_rate,claude_minus_glm,observed_delta_sign,paired_bootstrap_ci_lower,paired_bootstrap_ci_upper,paired_bootstrap_ci_width,interval_position,discordant_pairs,mcnemar_exact_two_sided_p,safe_note
original_evidence,original_evidence,audit_passed,20,1.0,1.0,0.0,zero,0.0,0.0,0.000000,crosses_zero,0,,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
original_evidence,original_evidence,decision_correct,20,1.0,1.0,0.0,zero,0.0,0.0,0.000000,crosses_zero,0,,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
original_evidence,original_evidence,escalation_correct,20,1.0,1.0,0.0,zero,0.0,0.0,0.000000,crosses_zero,0,,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
original_evidence,original_evidence,valid_json_chain,20,1.0,1.0,0.0,zero,0.0,0.0,0.000000,crosses_zero,0,,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
original_evidence,original_evidence,valid_schema_chain,20,1.0,1.0,0.0,zero,0.0,0.0,0.000000,crosses_zero,0,,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
missing_policy_rule,missing_policy_rule,audit_passed,20,0.1,0.0,-0.1,negative,-0.25,0.0,0.250000,crosses_zero,2,0.5,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
missing_policy_rule,missing_policy_rule,decision_correct,20,0.5,0.5,0.0,zero,0.0,0.0,0.000000,crosses_zero,0,,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
missing_policy_rule,missing_policy_rule,escalation_correct,20,1.0,0.85,-0.15,negative,-0.3,0.0,0.300000,crosses_zero,3,0.25,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
missing_policy_rule,missing_policy_rule,valid_json_chain,20,1.0,1.0,0.0,zero,0.0,0.0,0.000000,crosses_zero,0,,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
missing_policy_rule,missing_policy_rule,valid_schema_chain,20,1.0,1.0,0.0,zero,0.0,0.0,0.000000,crosses_zero,0,,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
missing_one_required_unit,missing_one_required_unit,audit_passed,20,0.55,0.7,0.15,positive,-0.05,0.35,0.400000,crosses_zero,5,0.375,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
missing_one_required_unit,missing_one_required_unit,decision_correct,20,0.5,0.5,0.0,zero,0.0,0.0,0.000000,crosses_zero,0,,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
missing_one_required_unit,missing_one_required_unit,escalation_correct,20,0.5,0.5,0.0,zero,0.0,0.0,0.000000,crosses_zero,0,,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
missing_one_required_unit,missing_one_required_unit,valid_json_chain,20,1.0,1.0,0.0,zero,0.0,0.0,0.000000,crosses_zero,0,,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
missing_one_required_unit,missing_one_required_unit,valid_schema_chain,20,1.0,1.0,0.0,zero,0.0,0.0,0.000000,crosses_zero,0,,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
