condition,metric,glm_5_2_value,claude_opus_4_8_value,claude_minus_glm,absolute_difference,comparison_scope,safe_note
original_evidence,decision_correct_rate,1.0,1.0,0.0,0.0,paired_20_task_same_condition_descriptive_difference,"Descriptive full 20-task GLM-5.2 and Anthropic/Claude comparison under the controlled Pilot 03 setup. This report uses committed sanitized chain-level outputs only and should not be interpreted as broad deployment evidence, broad cross-provider conclusions, or general reliability claims."
original_evidence,escalation_correct_rate,1.0,1.0,0.0,0.0,paired_20_task_same_condition_descriptive_difference,"Descriptive full 20-task GLM-5.2 and Anthropic/Claude comparison under the controlled Pilot 03 setup. This report uses committed sanitized chain-level outputs only and should not be interpreted as broad deployment evidence, broad cross-provider conclusions, or general reliability claims."
original_evidence,audit_passed_true_rate,1.0,1.0,0.0,0.0,paired_20_task_same_condition_descriptive_difference,"Descriptive full 20-task GLM-5.2 and Anthropic/Claude comparison under the controlled Pilot 03 setup. This report uses committed sanitized chain-level outputs only and should not be interpreted as broad deployment evidence, broad cross-provider conclusions, or general reliability claims."
original_evidence,valid_json_chain_rate,1.0,1.0,0.0,0.0,paired_20_task_same_condition_descriptive_difference,"Descriptive full 20-task GLM-5.2 and Anthropic/Claude comparison under the controlled Pilot 03 setup. This report uses committed sanitized chain-level outputs only and should not be interpreted as broad deployment evidence, broad cross-provider conclusions, or general reliability claims."
original_evidence,valid_schema_chain_rate,1.0,1.0,0.0,0.0,paired_20_task_same_condition_descriptive_difference,"Descriptive full 20-task GLM-5.2 and Anthropic/Claude comparison under the controlled Pilot 03 setup. This report uses committed sanitized chain-level outputs only and should not be interpreted as broad deployment evidence, broad cross-provider conclusions, or general reliability claims."
missing_policy_rule,decision_correct_rate,0.5,0.5,0.0,0.0,paired_20_task_same_condition_descriptive_difference,"Descriptive full 20-task GLM-5.2 and Anthropic/Claude comparison under the controlled Pilot 03 setup. This report uses committed sanitized chain-level outputs only and should not be interpreted as broad deployment evidence, broad cross-provider conclusions, or general reliability claims."
missing_policy_rule,escalation_correct_rate,1.0,0.85,-0.15,0.15,paired_20_task_same_condition_descriptive_difference,"Descriptive full 20-task GLM-5.2 and Anthropic/Claude comparison under the controlled Pilot 03 setup. This report uses committed sanitized chain-level outputs only and should not be interpreted as broad deployment evidence, broad cross-provider conclusions, or general reliability claims."
missing_policy_rule,audit_passed_true_rate,0.1,0.0,-0.1,0.1,paired_20_task_same_condition_descriptive_difference,"Descriptive full 20-task GLM-5.2 and Anthropic/Claude comparison under the controlled Pilot 03 setup. This report uses committed sanitized chain-level outputs only and should not be interpreted as broad deployment evidence, broad cross-provider conclusions, or general reliability claims."
missing_policy_rule,valid_json_chain_rate,1.0,1.0,0.0,0.0,paired_20_task_same_condition_descriptive_difference,"Descriptive full 20-task GLM-5.2 and Anthropic/Claude comparison under the controlled Pilot 03 setup. This report uses committed sanitized chain-level outputs only and should not be interpreted as broad deployment evidence, broad cross-provider conclusions, or general reliability claims."
missing_policy_rule,valid_schema_chain_rate,1.0,1.0,0.0,0.0,paired_20_task_same_condition_descriptive_difference,"Descriptive full 20-task GLM-5.2 and Anthropic/Claude comparison under the controlled Pilot 03 setup. This report uses committed sanitized chain-level outputs only and should not be interpreted as broad deployment evidence, broad cross-provider conclusions, or general reliability claims."
missing_one_required_unit,decision_correct_rate,0.5,0.5,0.0,0.0,paired_20_task_same_condition_descriptive_difference,"Descriptive full 20-task GLM-5.2 and Anthropic/Claude comparison under the controlled Pilot 03 setup. This report uses committed sanitized chain-level outputs only and should not be interpreted as broad deployment evidence, broad cross-provider conclusions, or general reliability claims."
missing_one_required_unit,escalation_correct_rate,0.5,0.5,0.0,0.0,paired_20_task_same_condition_descriptive_difference,"Descriptive full 20-task GLM-5.2 and Anthropic/Claude comparison under the controlled Pilot 03 setup. This report uses committed sanitized chain-level outputs only and should not be interpreted as broad deployment evidence, broad cross-provider conclusions, or general reliability claims."
missing_one_required_unit,audit_passed_true_rate,0.55,0.7,0.15,0.15,paired_20_task_same_condition_descriptive_difference,"Descriptive full 20-task GLM-5.2 and Anthropic/Claude comparison under the controlled Pilot 03 setup. This report uses committed sanitized chain-level outputs only and should not be interpreted as broad deployment evidence, broad cross-provider conclusions, or general reliability claims."
missing_one_required_unit,valid_json_chain_rate,1.0,1.0,0.0,0.0,paired_20_task_same_condition_descriptive_difference,"Descriptive full 20-task GLM-5.2 and Anthropic/Claude comparison under the controlled Pilot 03 setup. This report uses committed sanitized chain-level outputs only and should not be interpreted as broad deployment evidence, broad cross-provider conclusions, or general reliability claims."
missing_one_required_unit,valid_schema_chain_rate,1.0,1.0,0.0,0.0,paired_20_task_same_condition_descriptive_difference,"Descriptive full 20-task GLM-5.2 and Anthropic/Claude comparison under the controlled Pilot 03 setup. This report uses committed sanitized chain-level outputs only and should not be interpreted as broad deployment evidence, broad cross-provider conclusions, or general reliability claims."
