dry_run_request_id,stage_name,stage_order,template_id,schema_version,evidence_state_id,packet_id,condition_name,input_reference,dependency_reference,target_label_reference_excluded,prompt_template_only,raw_prompt_instance_written,raw_response_written,api_call_executed,model_call_executed
P05_CFPB_ES_001_01_clean_D,decision,1,decision_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_001_01_clean,P05_CFPB_PKT_000190,clean,evidence_state_conditions.csv:evidence_state_text,,True,True,False,False,False,False
P05_CFPB_ES_001_01_clean_A,audit,2,audit_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_001_01_clean,P05_CFPB_PKT_000190,clean,sanitized_decision_output_reference,P05_CFPB_ES_001_01_clean_D,True,True,False,False,False,False
P05_CFPB_ES_001_01_clean_E,escalation,3,escalation_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_001_01_clean,P05_CFPB_PKT_000190,clean,sanitized_decision_and_audit_output_references,P05_CFPB_ES_001_01_clean_D|P05_CFPB_ES_001_01_clean_A,True,True,False,False,False,False
P05_CFPB_ES_001_02_compressed_D,decision,1,decision_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_001_02_compressed,P05_CFPB_PKT_000190,compressed,evidence_state_conditions.csv:evidence_state_text,,True,True,False,False,False,False
P05_CFPB_ES_001_02_compressed_A,audit,2,audit_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_001_02_compressed,P05_CFPB_PKT_000190,compressed,sanitized_decision_output_reference,P05_CFPB_ES_001_02_compressed_D,True,True,False,False,False,False
P05_CFPB_ES_001_02_compressed_E,escalation,3,escalation_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_001_02_compressed,P05_CFPB_PKT_000190,compressed,sanitized_decision_and_audit_output_references,P05_CFPB_ES_001_02_compressed_D|P05_CFPB_ES_001_02_compressed_A,True,True,False,False,False,False
P05_CFPB_ES_001_03_partial_dropout_D,decision,1,decision_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_001_03_partial_dropout,P05_CFPB_PKT_000190,partial_dropout,evidence_state_conditions.csv:evidence_state_text,,True,True,False,False,False,False
P05_CFPB_ES_001_03_partial_dropout_A,audit,2,audit_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_001_03_partial_dropout,P05_CFPB_PKT_000190,partial_dropout,sanitized_decision_output_reference,P05_CFPB_ES_001_03_partial_dropout_D,True,True,False,False,False,False
P05_CFPB_ES_001_03_partial_dropout_E,escalation,3,escalation_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_001_03_partial_dropout,P05_CFPB_PKT_000190,partial_dropout,sanitized_decision_and_audit_output_references,P05_CFPB_ES_001_03_partial_dropout_D|P05_CFPB_ES_001_03_partial_dropout_A,True,True,False,False,False,False
P05_CFPB_ES_001_04_noisy_conflicting_D,decision,1,decision_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_001_04_noisy_conflicting,P05_CFPB_PKT_000190,noisy_conflicting,evidence_state_conditions.csv:evidence_state_text,,True,True,False,False,False,False
P05_CFPB_ES_001_04_noisy_conflicting_A,audit,2,audit_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_001_04_noisy_conflicting,P05_CFPB_PKT_000190,noisy_conflicting,sanitized_decision_output_reference,P05_CFPB_ES_001_04_noisy_conflicting_D,True,True,False,False,False,False
P05_CFPB_ES_001_04_noisy_conflicting_E,escalation,3,escalation_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_001_04_noisy_conflicting,P05_CFPB_PKT_000190,noisy_conflicting,sanitized_decision_and_audit_output_references,P05_CFPB_ES_001_04_noisy_conflicting_D|P05_CFPB_ES_001_04_noisy_conflicting_A,True,True,False,False,False,False
P05_CFPB_ES_002_01_clean_D,decision,1,decision_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_002_01_clean,P05_CFPB_PKT_000219,clean,evidence_state_conditions.csv:evidence_state_text,,True,True,False,False,False,False
P05_CFPB_ES_002_01_clean_A,audit,2,audit_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_002_01_clean,P05_CFPB_PKT_000219,clean,sanitized_decision_output_reference,P05_CFPB_ES_002_01_clean_D,True,True,False,False,False,False
P05_CFPB_ES_002_01_clean_E,escalation,3,escalation_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_002_01_clean,P05_CFPB_PKT_000219,clean,sanitized_decision_and_audit_output_references,P05_CFPB_ES_002_01_clean_D|P05_CFPB_ES_002_01_clean_A,True,True,False,False,False,False
P05_CFPB_ES_002_02_compressed_D,decision,1,decision_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_002_02_compressed,P05_CFPB_PKT_000219,compressed,evidence_state_conditions.csv:evidence_state_text,,True,True,False,False,False,False
P05_CFPB_ES_002_02_compressed_A,audit,2,audit_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_002_02_compressed,P05_CFPB_PKT_000219,compressed,sanitized_decision_output_reference,P05_CFPB_ES_002_02_compressed_D,True,True,False,False,False,False
P05_CFPB_ES_002_02_compressed_E,escalation,3,escalation_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_002_02_compressed,P05_CFPB_PKT_000219,compressed,sanitized_decision_and_audit_output_references,P05_CFPB_ES_002_02_compressed_D|P05_CFPB_ES_002_02_compressed_A,True,True,False,False,False,False
P05_CFPB_ES_002_03_partial_dropout_D,decision,1,decision_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_002_03_partial_dropout,P05_CFPB_PKT_000219,partial_dropout,evidence_state_conditions.csv:evidence_state_text,,True,True,False,False,False,False
P05_CFPB_ES_002_03_partial_dropout_A,audit,2,audit_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_002_03_partial_dropout,P05_CFPB_PKT_000219,partial_dropout,sanitized_decision_output_reference,P05_CFPB_ES_002_03_partial_dropout_D,True,True,False,False,False,False
P05_CFPB_ES_002_03_partial_dropout_E,escalation,3,escalation_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_002_03_partial_dropout,P05_CFPB_PKT_000219,partial_dropout,sanitized_decision_and_audit_output_references,P05_CFPB_ES_002_03_partial_dropout_D|P05_CFPB_ES_002_03_partial_dropout_A,True,True,False,False,False,False
P05_CFPB_ES_002_04_noisy_conflicting_D,decision,1,decision_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_002_04_noisy_conflicting,P05_CFPB_PKT_000219,noisy_conflicting,evidence_state_conditions.csv:evidence_state_text,,True,True,False,False,False,False
P05_CFPB_ES_002_04_noisy_conflicting_A,audit,2,audit_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_002_04_noisy_conflicting,P05_CFPB_PKT_000219,noisy_conflicting,sanitized_decision_output_reference,P05_CFPB_ES_002_04_noisy_conflicting_D,True,True,False,False,False,False
P05_CFPB_ES_002_04_noisy_conflicting_E,escalation,3,escalation_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_002_04_noisy_conflicting,P05_CFPB_PKT_000219,noisy_conflicting,sanitized_decision_and_audit_output_references,P05_CFPB_ES_002_04_noisy_conflicting_D|P05_CFPB_ES_002_04_noisy_conflicting_A,True,True,False,False,False,False
P05_CFPB_ES_003_01_clean_D,decision,1,decision_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_003_01_clean,P05_CFPB_PKT_004762,clean,evidence_state_conditions.csv:evidence_state_text,,True,True,False,False,False,False
P05_CFPB_ES_003_01_clean_A,audit,2,audit_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_003_01_clean,P05_CFPB_PKT_004762,clean,sanitized_decision_output_reference,P05_CFPB_ES_003_01_clean_D,True,True,False,False,False,False
P05_CFPB_ES_003_01_clean_E,escalation,3,escalation_v1,pilot_05_cfpb_cascade_v1,P05_CFPB_ES_003_01_clean,P05_CFPB_PKT_004762,clean,sanitized_decision_and_audit_output_references,P05_CFPB_ES_003_01_clean_D|P05_CFPB_ES_003_01_clean_A,True,True,False,False,False,False
