task_id,condition,gold_decision,reasons,glm_decision_correct,claude_decision_correct,glm_escalation_correct,claude_escalation_correct,glm_audit_passed,claude_audit_passed,glm_escalation_transition,claude_escalation_transition,safe_note
P03-T0001,missing_policy_rule,approve,"both_decision_wrong,glm_recovered_by_escalation,claude_recovered_by_escalation",False,False,True,True,False,False,decision_wrong_recovered_by_escalation,decision_wrong_recovered_by_escalation,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0001,missing_one_required_unit,approve,"audit_disagreement,both_decision_wrong,both_escalation_wrong",False,False,False,False,False,True,decision_wrong_not_recovered,decision_wrong_not_recovered,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0002,missing_one_required_unit,reject,audit_disagreement,True,True,True,True,False,True,decision_correct_preserved,decision_correct_preserved,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0003,missing_policy_rule,approve,"both_decision_wrong,glm_recovered_by_escalation,claude_recovered_by_escalation",False,False,True,True,False,False,decision_wrong_recovered_by_escalation,decision_wrong_recovered_by_escalation,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0003,missing_one_required_unit,approve,"both_decision_wrong,both_escalation_wrong",False,False,False,False,True,True,decision_wrong_not_recovered,decision_wrong_not_recovered,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0004,missing_one_required_unit,reject,audit_disagreement,True,True,True,True,False,True,decision_correct_preserved,decision_correct_preserved,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0005,missing_policy_rule,approve,"audit_disagreement,both_decision_wrong,glm_recovered_by_escalation,claude_recovered_by_escalation",False,False,True,True,True,False,decision_wrong_recovered_by_escalation,decision_wrong_recovered_by_escalation,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0005,missing_one_required_unit,approve,"both_decision_wrong,both_escalation_wrong",False,False,False,False,True,True,decision_wrong_not_recovered,decision_wrong_not_recovered,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0007,missing_policy_rule,approve,"both_decision_wrong,glm_recovered_by_escalation,claude_recovered_by_escalation",False,False,True,True,False,False,decision_wrong_recovered_by_escalation,decision_wrong_recovered_by_escalation,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0007,missing_one_required_unit,approve,"both_decision_wrong,both_escalation_wrong",False,False,False,False,True,True,decision_wrong_not_recovered,decision_wrong_not_recovered,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0009,missing_policy_rule,approve,"both_decision_wrong,glm_recovered_by_escalation,claude_recovered_by_escalation",False,False,True,True,False,False,decision_wrong_recovered_by_escalation,decision_wrong_recovered_by_escalation,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0009,missing_one_required_unit,approve,"both_decision_wrong,both_escalation_wrong",False,False,False,False,True,True,decision_wrong_not_recovered,decision_wrong_not_recovered,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0011,missing_policy_rule,approve,"both_decision_wrong,glm_recovered_by_escalation,claude_recovered_by_escalation",False,False,True,True,False,False,decision_wrong_recovered_by_escalation,decision_wrong_recovered_by_escalation,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0011,missing_one_required_unit,approve,"both_decision_wrong,both_escalation_wrong",False,False,False,False,True,True,decision_wrong_not_recovered,decision_wrong_not_recovered,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0012,missing_one_required_unit,reject,audit_disagreement,True,True,True,True,False,True,decision_correct_preserved,decision_correct_preserved,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0013,missing_policy_rule,approve,"escalation_disagreement,both_decision_wrong,glm_recovered_by_escalation",False,False,True,False,False,False,decision_wrong_recovered_by_escalation,decision_wrong_not_recovered,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0013,missing_one_required_unit,approve,"both_decision_wrong,both_escalation_wrong",False,False,False,False,True,True,decision_wrong_not_recovered,decision_wrong_not_recovered,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0014,missing_one_required_unit,reject,audit_disagreement,True,True,True,True,True,False,decision_correct_preserved,decision_correct_preserved,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0015,missing_policy_rule,approve,"escalation_disagreement,audit_disagreement,both_decision_wrong,glm_recovered_by_escalation",False,False,True,False,True,False,decision_wrong_recovered_by_escalation,decision_wrong_not_recovered,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0015,missing_one_required_unit,approve,"both_decision_wrong,both_escalation_wrong",False,False,False,False,True,True,decision_wrong_not_recovered,decision_wrong_not_recovered,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0017,missing_policy_rule,approve,"escalation_disagreement,both_decision_wrong,glm_recovered_by_escalation",False,False,True,False,False,False,decision_wrong_recovered_by_escalation,decision_wrong_not_recovered,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0017,missing_one_required_unit,approve,"both_decision_wrong,both_escalation_wrong",False,False,False,False,True,True,decision_wrong_not_recovered,decision_wrong_not_recovered,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0019,missing_policy_rule,approve,"both_decision_wrong,glm_recovered_by_escalation,claude_recovered_by_escalation",False,False,True,True,False,False,decision_wrong_recovered_by_escalation,decision_wrong_recovered_by_escalation,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0019,missing_one_required_unit,approve,"both_decision_wrong,both_escalation_wrong",False,False,False,False,True,True,decision_wrong_not_recovered,decision_wrong_not_recovered,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
