evidence_state_id,packet_id,subset_rank,condition_name,condition_order,evidence_state_text,degradation_profile
P05_CFPB_ES_001_01_clean,P05_CFPB_PKT_000190,1,clean,1,Evidence packet: product_family=Credit card; sub_product_bucket=Store credit card; issue_category=Fees or interest; sub_issue_category=Charged too much interest; submitted_via=Web; received_month=2026-03; narrative_available=present; narrative_length_bucket=250-999; consumer_tag_presence=present; state_presence=present.,original_sanitized_packet_text
P05_CFPB_ES_001_02_compressed,P05_CFPB_PKT_000190,1,compressed,2,Evidence packet compressed: product_family=Credit card; issue_category=Fees or interest; received_month=2026-03; narrative_available=present.,category_compression_and_detail_reduction
P05_CFPB_ES_001_03_partial_dropout,P05_CFPB_PKT_000190,1,partial_dropout,3,Evidence packet partial_dropout: product_family=Credit card; sub_product_bucket=__DROPPED__; issue_category=Fees or interest; sub_issue_category=__DROPPED__; submitted_via=__DROPPED__; received_month=2026-03; consumer_tag_presence=present; state_presence=__DROPPED__; narrative_available=present; narrative_length_bucket=__DROPPED__.,structured_field_dropout_without_target
P05_CFPB_ES_001_04_noisy_conflicting,P05_CFPB_PKT_000190,1,noisy_conflicting,4,Evidence packet noisy_conflicting: product_family=Credit card; alternative_product_signal=Prepaid card; sub_product_bucket=Store credit card; issue_category=Fees or interest; sub_issue_category=Charged too much interest; submitted_via=Web; alternative_submission_signal=Referral; received_month=2026-03; consumer_tag_presence=present; state_presence=present; narrative_available=present; narrative_length_bucket=250-999; evidence_quality_warning=simulated_non_outcome_conflict.,simulated_non_outcome_conflicting_signals
P05_CFPB_ES_002_01_clean,P05_CFPB_PKT_000219,2,clean,1,Evidence packet: product_family=Credit card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Getting a credit card; sub_issue_category=Card opened without my consent or knowledge; submitted_via=Web; received_month=2026-02; narrative_available=absent; narrative_length_bucket=missing; consumer_tag_presence=present; state_presence=present.,original_sanitized_packet_text
P05_CFPB_ES_002_02_compressed,P05_CFPB_PKT_000219,2,compressed,2,Evidence packet compressed: product_family=Credit card; issue_category=Getting a credit card; received_month=2026-02; narrative_available=absent.,category_compression_and_detail_reduction
P05_CFPB_ES_002_03_partial_dropout,P05_CFPB_PKT_000219,2,partial_dropout,3,Evidence packet partial_dropout: product_family=Credit card; sub_product_bucket=__DROPPED__; issue_category=Getting a credit card; sub_issue_category=__DROPPED__; submitted_via=__DROPPED__; received_month=2026-02; consumer_tag_presence=present; state_presence=__DROPPED__; narrative_available=absent; narrative_length_bucket=__DROPPED__.,structured_field_dropout_without_target
P05_CFPB_ES_002_04_noisy_conflicting,P05_CFPB_PKT_000219,2,noisy_conflicting,4,Evidence packet noisy_conflicting: product_family=Credit card; alternative_product_signal=Prepaid card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Getting a credit card; sub_issue_category=Card opened without my consent or knowledge; submitted_via=Web; alternative_submission_signal=Referral; received_month=2026-02; consumer_tag_presence=present; state_presence=present; narrative_available=absent; narrative_length_bucket=missing; evidence_quality_warning=simulated_non_outcome_conflict.,simulated_non_outcome_conflicting_signals
P05_CFPB_ES_003_01_clean,P05_CFPB_PKT_004762,3,clean,1,Evidence packet: product_family=Credit card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Problem with a purchase shown on your statement; sub_issue_category=Card was charged for something you did not purchase with the card; submitted_via=Web; received_month=2026-01; narrative_available=absent; narrative_length_bucket=missing; consumer_tag_presence=present; state_presence=present.,original_sanitized_packet_text
P05_CFPB_ES_003_02_compressed,P05_CFPB_PKT_004762,3,compressed,2,Evidence packet compressed: product_family=Credit card; issue_category=Problem with a purchase shown on your statement; received_month=2026-01; narrative_available=absent.,category_compression_and_detail_reduction
