placeholder_id,manuscript_slot,evidence_needed,preferred_source_type,claim_supported,fabricated_citation,status
CIT-ESR-01,Introduction: evaluation-layer distinction,"Foundational work distinguishing output validity, task correctness, calibration, and process or evidence reliability",Peer-reviewed conceptual or evaluation paper,Evaluation at the format layer does not exhaust reliability assessment,NO,PLACEHOLDER_ONLY
CIT-CASCADE-01,Introduction/Related Work: cascading failure,"Research on error propagation, cascading failures, or compounding reliability loss in multi-stage AI or decision systems",Peer-reviewed empirical or systems paper,Upstream state degradation can propagate through downstream stages,NO,PLACEHOLDER_ONLY
CIT-PIPELINE-01,Related Work: multi-stage LLM pipelines,"Research on chained, tool-using, agentic, or multi-stage LLM evaluation",Peer-reviewed paper or authoritative benchmark description,Multi-stage LLM systems require stage-aware evaluation,NO,PLACEHOLDER_ONLY
CIT-PARSER-01,Related Work: structured-output evaluation,"Research or technical standards on schema adherence, constrained decoding, or structured-output validity",Peer-reviewed paper or authoritative technical documentation,Parser validity captures structure rather than semantic or evidential correctness,NO,PLACEHOLDER_ONLY
CIT-AUDIT-01,Related Work: AI auditing and assurance,"Research on AI auditability, assurance, oversight, and evaluation mismatch",Peer-reviewed governance or auditing paper,Audit stages can inherit or amplify evidence-state limitations,NO,PLACEHOLDER_ONLY
CIT-UNCERTAINTY-01,Related Work: uncertainty and escalation,"Research on uncertainty communication, selective prediction, abstention, or escalation in AI decision systems",Peer-reviewed methods paper,Escalation behaviour is a distinct reliability layer,NO,PLACEHOLDER_ONLY
CIT-FINAI-01,Domain context: financial or complaint decision support,Carefully bounded literature on AI-supported financial decision processes or consumer complaint analysis,Peer-reviewed domain paper or official institutional source,The domain motivates high assurance without validating deployment,NO,PLACEHOLDER_ONLY
CIT-CFPB-01,Data provenance,Official CFPB documentation describing the public complaint database and its limitations,Official CFPB source,Dataset provenance and documented limitations,NO,PLACEHOLDER_ONLY
CIT-VALIDITY-01,Threats to validity,"Canonical empirical software engineering, ML evaluation, or experimental-design validity framework",Peer-reviewed methods source,"Construct, internal, external, and conclusion validity structure",NO,PLACEHOLDER_ONLY
CIT-REPRO-01,Reproducibility statement,Research or reporting guideline for reproducible computational experiments,Peer-reviewed guideline or recognised reporting standard,Transparent artefact and claim traceability supports reproducibility,NO,PLACEHOLDER_ONLY
