task_id,task_type,n_conditions,conditions,gold_decisions,glm_decision_correct_count,claude_decision_correct_count,glm_escalation_correct_count,claude_escalation_correct_count,glm_audit_passed_count,claude_audit_passed_count,decision_disagreement_count,escalation_disagreement_count,audit_disagreement_count,glm_escalation_recovery_count,claude_escalation_recovery_count,both_decision_wrong_count,both_escalation_wrong_count,task_pattern,safe_note
P03-T0001,synthetic_administrative_approval,3,"original_evidence,missing_policy_rule,missing_one_required_unit","approve,approve,approve",1,1,2,2,1,2,0,0,1,1,1,2,1,shared_escalation_error_present,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0002,synthetic_administrative_approval,3,"original_evidence,missing_policy_rule,missing_one_required_unit","reject,reject,reject",3,3,3,3,1,2,0,0,1,0,0,0,0,audit_disagreement_only,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0003,synthetic_administrative_approval,3,"original_evidence,missing_policy_rule,missing_one_required_unit","approve,approve,approve",1,1,2,2,2,2,0,0,0,1,1,2,1,shared_escalation_error_present,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0004,synthetic_administrative_approval,3,"original_evidence,missing_policy_rule,missing_one_required_unit","reject,reject,reject",3,3,3,3,1,2,0,0,1,0,0,0,0,audit_disagreement_only,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0005,synthetic_administrative_approval,3,"original_evidence,missing_policy_rule,missing_one_required_unit","approve,approve,approve",1,1,2,2,3,2,0,0,1,1,1,2,1,shared_escalation_error_present,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0006,synthetic_administrative_approval,3,"original_evidence,missing_policy_rule,missing_one_required_unit","reject,reject,reject",3,3,3,3,1,1,0,0,0,0,0,0,0,paired_outcomes_aligned,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0007,synthetic_administrative_approval,3,"original_evidence,missing_policy_rule,missing_one_required_unit","approve,approve,approve",1,1,2,2,2,2,0,0,0,1,1,2,1,shared_escalation_error_present,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0008,synthetic_administrative_approval,3,"original_evidence,missing_policy_rule,missing_one_required_unit","reject,reject,reject",3,3,3,3,1,1,0,0,0,0,0,0,0,paired_outcomes_aligned,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0009,synthetic_administrative_approval,3,"original_evidence,missing_policy_rule,missing_one_required_unit","approve,approve,approve",1,1,2,2,2,2,0,0,0,1,1,2,1,shared_escalation_error_present,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0010,synthetic_administrative_approval,3,"original_evidence,missing_policy_rule,missing_one_required_unit","reject,reject,reject",3,3,3,3,1,1,0,0,0,0,0,0,0,paired_outcomes_aligned,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0011,synthetic_administrative_approval,3,"original_evidence,missing_policy_rule,missing_one_required_unit","approve,approve,approve",1,1,2,2,2,2,0,0,0,1,1,2,1,shared_escalation_error_present,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0012,synthetic_administrative_approval,3,"original_evidence,missing_policy_rule,missing_one_required_unit","reject,reject,reject",3,3,3,3,1,2,0,0,1,0,0,0,0,audit_disagreement_only,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0013,synthetic_administrative_approval,3,"original_evidence,missing_policy_rule,missing_one_required_unit","approve,approve,approve",1,1,2,1,2,2,0,1,0,1,0,2,1,shared_escalation_error_present,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0014,synthetic_administrative_approval,3,"original_evidence,missing_policy_rule,missing_one_required_unit","reject,reject,reject",3,3,3,3,2,1,0,0,1,0,0,0,0,audit_disagreement_only,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0015,synthetic_administrative_approval,3,"original_evidence,missing_policy_rule,missing_one_required_unit","approve,approve,approve",1,1,2,1,3,2,0,1,1,1,0,2,1,shared_escalation_error_present,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0016,synthetic_administrative_approval,3,"original_evidence,missing_policy_rule,missing_one_required_unit","reject,reject,reject",3,3,3,3,1,1,0,0,0,0,0,0,0,paired_outcomes_aligned,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0017,synthetic_administrative_approval,3,"original_evidence,missing_policy_rule,missing_one_required_unit","approve,approve,approve",1,1,2,1,2,2,0,1,0,1,0,2,1,shared_escalation_error_present,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0018,synthetic_administrative_approval,3,"original_evidence,missing_policy_rule,missing_one_required_unit","reject,reject,reject",3,3,3,3,1,1,0,0,0,0,0,0,0,paired_outcomes_aligned,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0019,synthetic_administrative_approval,3,"original_evidence,missing_policy_rule,missing_one_required_unit","approve,approve,approve",1,1,2,2,2,2,0,0,0,1,1,2,1,shared_escalation_error_present,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
