issue_id,original_severity,repair_action,new_manuscript_evidence,resolution_status,new_evidence_required
FIG-FILENAME-001,MAJOR,Removed the internal PNG filename and retained a publication-style Figure 1 caption with an in-text reference.,"L158: **Figure 1. Parser validity versus evidence-sensitive reliability under controlled degradation.** Across the committed degraded conditions, parser-validity deltas are positive while stage-success deltas are negative. The figure supports a bounded within-run distinction between parser validity and ESR; it does not establish a model-general effect.",RESOLVED,NO
FIG-FILENAME-002,MAJOR,Removed the internal PNG filename and retained a publication-style Figure 2 caption with an in-text reference.,"L164: **Figure 2. Audit detection and escalation recovery in the controlled run.** The audit stage detected degraded-condition failures at a mean rate of 1.0, whereas the implemented escalation stage had a mean recovery rate of 0.0. These values describe this pipeline design and do not imply that escalation mechanisms are generally ineffective.",RESOLVED,NO
FIG-FILENAME-003,MAJOR,Removed the internal PNG filename and retained a publication-style Figure 3 caption with an in-text reference.,L170: **Figure 3. Sequence-level cascade-failure rate.** The all-sequence cascade-failure rate was 0.929167 in the committed Pilot 05 run. The figure describes propagation within the evaluated decision-audit-escalation sequence and does not support a general claim about GLM-5.2 or LLM reliability.,RESOLVED,NO
FIG-FILENAME-004,MAJOR,Removed the internal PNG filename and retained a publication-style Figure 4 caption with an in-text reference.,"L176: **Figure 4. Failure-family interpretation.** The figure distinguishes detected-but-unrecovered degradation, parser-valid/evidence-invalid divergence, and missing-sanitized-row accounting. It is descriptive of the committed run and does not imply provider, regulatory, deployment, or real-world harm conclusions.",RESOLVED,NO
NOT-013,MINOR,Standardized 'parser validity' as the noun phrase and reserved 'parser-validity' for compound modifiers such as parser-validity rate and parser-validity deltas.,"L13: This paper studies that gap through Evidence-State Reliability (ESR): the reliability of the intermediate evidence state used by downstream functions. ESR asks whether the evidence available to a stage remains sufficiently complete, grounded, and usable for that stage's evidence-sensitive objective. Parser validity asks a different question: whether an output conforms to a required machine-readable structure. A parser-valid output can still be evidence-unsuccessful, so parser validity is not a sufficient proxy for ESR.",RESOLVED,NO
NOT-DEF-05,MODERATE,Integrated and formally defined the parser-validity rate.,"L63: Let \(E_{i,c,k}\) denote the evidence state supplied to case \(i\), condition \(c\), and stage \(k\). Let \(V_{i,c,k}\in\{0,1\}\) indicate parser validity, and let \(R_{i,c,k}\in\{0,1\}\) indicate evidence-sensitive stage success under the committed scoring contract. For \(N_c\) cases in condition \(c\), the **parser-validity rate** and **Evidence-State Reliability rate** are",RESOLVED,NO
NOT-DEF-06,MODERATE,Integrated and formally defined reliability-layer divergence.,L91: **Reliability-layer divergence** is,RESOLVED,NO
NOT-DEF-08,MODERATE,Integrated and formally defined false assurance at the format layer.,L103: **False assurance at the format layer** occurs when an output is parser-valid but evidence-unsuccessful. Its rate is,RESOLVED,NO
SCAF-001,MAJOR,Removed the manuscript-status block and opened directly with the scholarly title and abstract.,ABSENCE CHECK PASS for 'Manuscript status'; L1: # Evidence-State Reliability in Multi-Stage LLM Decision Pipelines,RESOLVED,NO
SCAF-002,MAJOR,Removed the committed-source table heading and replaced it with a publication-form execution table.,ABSENCE CHECK PASS for 'Committed main table used by this synthesis'; L138: **Table 1. Execution and parser-accounting summary.**,RESOLVED,NO
SCAF-003,MAJOR,Removed the internal metric-validation table and integrated validated metrics into Methods and Results.,ABSENCE CHECK PASS for 'Metric validation table used by this synthesis'; L115: ### 3.4 Metrics and accounting,RESOLVED,NO
SCAF-004,MODERATE,Removed the no-new-evidence workflow heading and retained reproducibility boundaries in scholarly prose.,ABSENCE CHECK PASS for 'No-new-evidence rule'; L128: ### 3.5 Reproducibility and claim discipline,RESOLVED,NO
SCAF-005,MODERATE,Removed the one-sentence-contribution workflow heading and integrated the contribution into Introduction and Discussion.,"ABSENCE CHECK PASS for 'One-sentence contribution'; L19: The paper makes three bounded contributions. First, it formalises parser-validity rate, ESR, reliability-layer divergence, and false assurance at the format layer as separate evaluation constructs. Second, it operationalises controlled evidence-state degradation across decision, audit, and escalation stages. Third, it reports a reproducible within-run pattern in which parser validity improved while evidence-sensitive stage success deteriorated. The novelty claim is deliberately limited: bounded combination-and-operationalisation differentiation is supported; global priority or first-ever novelty is not established.",RESOLVED,NO
SCAF-006,MODERATE,Removed head-turning editorial language and retained the empirical contrast in neutral scholarly wording.,"ABSENCE CHECK PASS for 'head-turning'; L154: Across degraded evidence conditions, stage-success deltas ranged from -0.517241 to -0.406780, whereas parser-validity deltas ranged from +0.067797 to +0.368421. The directions are opposite: evidence-sensitive success declined while parser validity increased. This is the central empirical instance of reliability-layer divergence.",RESOLVED,NO
SCAF-007,MAJOR,Removed the recommended table-sequence instructions and retained only numbered publication tables.,ABSENCE CHECK PASS for 'Recommended manuscript table sequence'; L180: **Table 2. Principal reliability outcomes.**,RESOLVED,NO
SCAF-008,MAJOR,Removed the recommended figure-sequence instructions and integrated four numbered figures into Results.,ABSENCE CHECK PASS for 'Recommended manuscript figure sequence'; L152: ### 4.2 Parser validity diverges from evidence-sensitive stage success,RESOLVED,NO
SCAF-009,MAJOR,Removed the source-caption pack wrapper and retained only journal-style captions.,"ABSENCE CHECK PASS for 'Source caption pack'; L158: **Figure 1. Parser validity versus evidence-sensitive reliability under controlled degradation.** Across the committed degraded conditions, parser-validity deltas are positive while stage-success deltas are negative. The figure supports a bounded within-run distinction between parser validity and ESR; it does not establish a model-general effect.",RESOLVED,NO
SCAF-010,MAJOR,Removed the source paper-table pack wrapper and retained only two publication-relevant tables.,ABSENCE CHECK PASS for 'Source paper table pack'; L138: **Table 1. Execution and parser-accounting summary.**,RESOLVED,NO
SCAF-011,MAJOR,"Removed the internal do-not-claim section and integrated bounded limitations into Discussion, Limitations, and Conclusion.","ABSENCE CHECK PASS for '## Do not claim'; L220: Accordingly, the study does not establish deployment safety, regulatory validity, financial-decision validity, consumer-harm prevalence, company misconduct, universal LLM unreliability, general GLM-5.2 unreliability, or provider superiority.",RESOLVED,NO
SCAF-012,MODERATE,Removed the repository-checkpoint heading and moved reproducibility information to Data and Code Availability.,ABSENCE CHECK PASS for 'Repository checkpoint'; L230: ## Data and Code Availability,RESOLVED,NO
SCAF-013,MODERATE,Removed the source-artifacts heading and summarized available artifacts in publication-form prose.,"ABSENCE CHECK PASS for 'Source artifacts'; L232: The study's code, sanitized derived artifacts, execution summaries, paper tables, figure data, figures, claim-boundary materials, and validation reports are maintained in the project repository. The available artifacts support deterministic checking of the reported accounting and metrics. Raw CFPB records, raw prompts, raw model responses, JSONL model-output files, and environment or API-key material are not part of the manuscript artifact package. Reproducibility claims are therefore limited to the committed sanitized evidence and artifact-validation boundary.",RESOLVED,NO
SCAF-014,MAJOR,Removed the revision-roadmap appendix.,ABSENCE CHECK PASS for 'Appendix A. Next revision roadmap'; L222: ## 7. Conclusion,RESOLVED,NO
SCAF-015,MAJOR,Removed the internal next-steps section.,ABSENCE CHECK PASS for 'Immediate next manuscript steps'; L230: ## Data and Code Availability,RESOLVED,NO
SCAF-016,MAJOR,Removed the editorial what-not-to-do section and expressed boundaries as scholarly limitations.,"ABSENCE CHECK PASS for 'What not to do yet'; L21: The evidence comes from one model configuration and one scaled run. The study does not establish universal LLM unreliability, general GLM-5.2 unreliability, provider superiority, deployment or regulatory validity, real-world financial-decision validity, or cross-model generalisation.",RESOLVED,NO
SCAF-017,MAJOR,Removed the assembly-checkpoint appendix.,ABSENCE CHECK PASS for 'Appendix B. Assembly checkpoint'; L234: ## References,RESOLVED,NO
SCAF-018,MAJOR,Removed the do-not-claim appendix and integrated the bounded claim in the main paper.,"ABSENCE CHECK PASS for 'Appendix C. Do-not-claim boundary'; L228: The conclusion is limited to one model configuration, one pipeline design, sanitized evidence, and one scaled run. It does not establish cross-model, provider-independent, deployment, regulatory, or real-world financial validity. The supported contribution is a bounded combination and operationalisation of evidence-state intervention and multi-layer reliability measurement, not a first-ever or global-priority claim.",RESOLVED,NO
SCAF-019,MODERATE,Removed the literature-integration provenance heading while preserving the verified literature and novelty boundary.,ABSENCE CHECK PASS for 'Literature Integration Provenance'; L200: ### 5.2 Contribution and novelty boundary,RESOLVED,NO
SCAF-020,MODERATE,Removed the opening task-provenance comment and all internal task narration.,ABSENCE CHECK PASS for 'Task 05AY'; L1: # Evidence-State Reliability in Multi-Stage LLM Decision Pipelines,RESOLVED,NO
SCAF-021,MAJOR,Removed malformed source-extraction tables and replaced them with publication tables containing labelled measures and interpretations.,ABSENCE CHECK PASS for '|  | value |'; L184: | Stage-success delta range | -0.517241 to -0.406780 | Evidence-sensitive stage performance declined under degradation |,RESOLVED,NO
STRUCT-017,MAJOR,Rebuilt the manuscript with a single consistent numbered main-section hierarchy and level-3 subsections.,L9: ## 1. Introduction,RESOLVED,NO
