task_id,baseline_condition,degraded_condition,gold_decision,baseline_decision_label,degraded_decision_label,decision_changed,decision_match_delta,audit_pass_delta,escalation_delta,alignment_score_delta,decision_confidence_delta,missing_required_evidence_delta,real_api_calls
P04-T0001,complete,partial,decline,decline,review,True,-1,-1,1,-0.35,-0.36,2,0
P04-T0001,complete,conflicted,decline,decline,decline,False,0,-1,1,-0.16,-0.2,0,0
P04-T0002,complete,partial,decline,decline,review,True,-1,-1,1,-0.35,-0.36,2,0
P04-T0002,complete,conflicted,decline,decline,decline,False,0,-1,1,-0.16,-0.2,0,0
P04-T0003,complete,partial,review,review,review,False,0,0,1,-0.17,-0.26,2,0
P04-T0003,complete,conflicted,review,review,review,False,0,0,0,-0.16,-0.2,0,0
P04-T0004,complete,partial,approve,approve,review,True,-1,-1,1,-0.35,-0.36,2,0
P04-T0004,complete,conflicted,approve,approve,review,True,-1,-1,1,-0.34,-0.3,0,0
P04-T0005,complete,partial,decline,decline,review,True,-1,-1,1,-0.35,-0.36,2,0
P04-T0005,complete,conflicted,decline,decline,decline,False,0,-1,1,-0.16,-0.2,0,0
P04-T0006,complete,partial,approve,approve,review,True,-1,-1,1,-0.35,-0.36,2,0
P04-T0006,complete,conflicted,approve,approve,review,True,-1,-1,1,-0.34,-0.3,0,0
P04-T0007,complete,partial,review,review,review,False,0,0,1,-0.17,-0.26,2,0
P04-T0007,complete,conflicted,review,review,review,False,0,0,0,-0.16,-0.2,0,0
P04-T0008,complete,partial,review,review,review,False,0,0,1,-0.17,-0.26,2,0
P04-T0008,complete,conflicted,review,review,review,False,0,0,0,-0.16,-0.2,0,0
P04-T0009,complete,partial,review,review,review,False,0,0,1,-0.17,-0.26,2,0
P04-T0009,complete,conflicted,review,review,review,False,0,0,0,-0.16,-0.2,0,0
P04-T0010,complete,partial,review,review,review,False,0,0,1,-0.17,-0.26,2,0
P04-T0010,complete,conflicted,review,review,review,False,0,0,0,-0.16,-0.2,0,0
P04-T0011,complete,partial,approve,approve,review,True,-1,-1,1,-0.35,-0.36,2,0
P04-T0011,complete,conflicted,approve,approve,review,True,-1,-1,1,-0.34,-0.3,0,0
P04-T0012,complete,partial,review,review,review,False,0,0,1,-0.17,-0.26,2,0
P04-T0012,complete,conflicted,review,review,review,False,0,0,0,-0.16,-0.2,0,0
P04-T0013,complete,partial,decline,decline,review,True,-1,-1,1,-0.35,-0.36,2,0
P04-T0013,complete,conflicted,decline,decline,decline,False,0,-1,1,-0.16,-0.2,0,0
P04-T0014,complete,partial,decline,decline,review,True,-1,-1,1,-0.35,-0.36,2,0
P04-T0014,complete,conflicted,decline,decline,decline,False,0,-1,1,-0.16,-0.2,0,0
P04-T0015,complete,partial,approve,approve,review,True,-1,-1,1,-0.35,-0.36,2,0
P04-T0015,complete,conflicted,approve,approve,review,True,-1,-1,1,-0.34,-0.3,0,0
P04-T0016,complete,partial,decline,decline,review,True,-1,-1,1,-0.35,-0.36,2,0
P04-T0016,complete,conflicted,decline,decline,decline,False,0,-1,1,-0.16,-0.2,0,0
P04-T0017,complete,partial,approve,approve,review,True,-1,-1,1,-0.35,-0.36,2,0
P04-T0017,complete,conflicted,approve,approve,review,True,-1,-1,1,-0.34,-0.3,0,0
P04-T0018,complete,partial,review,review,review,False,0,0,1,-0.17,-0.26,2,0
P04-T0018,complete,conflicted,review,review,review,False,0,0,0,-0.16,-0.2,0,0
P04-T0019,complete,partial,approve,approve,review,True,-1,-1,1,-0.35,-0.36,2,0
P04-T0019,complete,conflicted,approve,approve,review,True,-1,-1,1,-0.34,-0.3,0,0
P04-T0020,complete,partial,decline,decline,review,True,-1,-1,1,-0.35,-0.36,2,0
P04-T0020,complete,conflicted,decline,decline,decline,False,0,-1,1,-0.16,-0.2,0,0
P04-T0021,complete,partial,decline,decline,review,True,-1,-1,1,-0.35,-0.36,2,0
P04-T0021,complete,conflicted,decline,decline,decline,False,0,-1,1,-0.16,-0.2,0,0
P04-T0022,complete,partial,approve,approve,review,True,-1,-1,1,-0.35,-0.36,2,0
P04-T0022,complete,conflicted,approve,approve,review,True,-1,-1,1,-0.34,-0.3,0,0
P04-T0023,complete,partial,review,review,review,False,0,0,1,-0.17,-0.26,2,0
P04-T0023,complete,conflicted,review,review,review,False,0,0,0,-0.16,-0.2,0,0
P04-T0024,complete,partial,approve,approve,review,True,-1,-1,1,-0.35,-0.36,2,0
P04-T0024,complete,conflicted,approve,approve,review,True,-1,-1,1,-0.34,-0.3,0,0
