check_id,category,item,expected_or_source_value,status,note
N001,numerical_integrity,planned calls,720,PASS,
N002,numerical_integrity,ledger rows,720,PASS,
N003,numerical_integrity,sanitized execution rows,713,PASS,
N004,numerical_integrity,ledger parser-valid rows,470,PASS,
N005,numerical_integrity,ledger parser-invalid rows,250,PASS,
N006,numerical_integrity,persisted parser-valid rows,470,PASS,
N007,numerical_integrity,persisted parser-invalid rows,243,PASS,
N008,numerical_integrity,ledger-only missing rows,7,PASS,
N009,numerical_integrity,maximum cumulative estimated cost,USD 2.2731216,PASS,
N010,numerical_integrity,condition-stage rows,12,PASS,
N011,numerical_integrity,bootstrap rows,27,PASS,
N012,numerical_integrity,positive parser-validity point estimates,9/9,PASS,
N013,numerical_integrity,parser-validity intervals crossing zero,3/9; all partial_dropout,PASS,
N014,numerical_integrity,stage-success intervals below zero,9/9,PASS,
N015,numerical_integrity,evidence-adequacy intervals below zero,9/9,PASS,
N016,numerical_integrity,bootstrap resamples,"2,000",PASS,
N017,numerical_integrity,bootstrap seed,5205,PASS,
N018,numerical_integrity,degraded audit detection,1.0 in all three conditions,PASS,
N019,numerical_integrity,audit false assurance,3/48; 2/41; 1/52,PASS,
N020,numerical_integrity,degraded escalation recovery,0.0 in all three conditions,PASS,
N021,numerical_integrity,degraded escalation loss proxy,1.0 in all three conditions,PASS,
N022,numerical_integrity,cascade failures,223/240,PASS,
N023,numerical_integrity,complete sequences,234/240,PASS,
N024,numerical_integrity,cascade-failure rate,0.929167,PASS,
N025,numerical_integrity,accounting identity,470+250=720,PASS,
N026,numerical_integrity,accounting identity,470+243=713,PASS,
N027,numerical_integrity,accounting identity,720-713=7,PASS,
N028,numerical_integrity,accounting identity,470-470=0,PASS,
CELL01,condition_stage_completeness,condition-stage row 1,source row represented,PASS,
CELL02,condition_stage_completeness,condition-stage row 2,source row represented,PASS,
CELL03,condition_stage_completeness,condition-stage row 3,source row represented,PASS,
CELL04,condition_stage_completeness,condition-stage row 4,source row represented,PASS,
CELL05,condition_stage_completeness,condition-stage row 5,source row represented,PASS,
CELL06,condition_stage_completeness,condition-stage row 6,source row represented,PASS,
CELL07,condition_stage_completeness,condition-stage row 7,source row represented,PASS,
CELL08,condition_stage_completeness,condition-stage row 8,source row represented,PASS,
CELL09,condition_stage_completeness,condition-stage row 9,source row represented,PASS,
CELL10,condition_stage_completeness,condition-stage row 10,source row represented,PASS,
CELL11,condition_stage_completeness,condition-stage row 11,source row represented,PASS,
CELL12,condition_stage_completeness,condition-stage row 12,source row represented,PASS,
CI01,bootstrap_completeness,bootstrap row 1,source row represented,PASS,
CI02,bootstrap_completeness,bootstrap row 2,source row represented,PASS,
CI03,bootstrap_completeness,bootstrap row 3,source row represented,PASS,
CI04,bootstrap_completeness,bootstrap row 4,source row represented,PASS,
CI05,bootstrap_completeness,bootstrap row 5,source row represented,PASS,
CI06,bootstrap_completeness,bootstrap row 6,source row represented,PASS,
CI07,bootstrap_completeness,bootstrap row 7,source row represented,PASS,
CI08,bootstrap_completeness,bootstrap row 8,source row represented,PASS,
CI09,bootstrap_completeness,bootstrap row 9,source row represented,PASS,
CI10,bootstrap_completeness,bootstrap row 10,source row represented,PASS,
CI11,bootstrap_completeness,bootstrap row 11,source row represented,PASS,
CI12,bootstrap_completeness,bootstrap row 12,source row represented,PASS,
CI13,bootstrap_completeness,bootstrap row 13,source row represented,PASS,
CI14,bootstrap_completeness,bootstrap row 14,source row represented,PASS,
CI15,bootstrap_completeness,bootstrap row 15,source row represented,PASS,
CI16,bootstrap_completeness,bootstrap row 16,source row represented,PASS,
CI17,bootstrap_completeness,bootstrap row 17,source row represented,PASS,
CI18,bootstrap_completeness,bootstrap row 18,source row represented,PASS,
CI19,bootstrap_completeness,bootstrap row 19,source row represented,PASS,
CI20,bootstrap_completeness,bootstrap row 20,source row represented,PASS,
CI21,bootstrap_completeness,bootstrap row 21,source row represented,PASS,
CI22,bootstrap_completeness,bootstrap row 22,source row represented,PASS,
CI23,bootstrap_completeness,bootstrap row 23,source row represented,PASS,
CI24,bootstrap_completeness,bootstrap row 24,source row represented,PASS,
CI25,bootstrap_completeness,bootstrap row 25,source row represented,PASS,
CI26,bootstrap_completeness,bootstrap row 26,source row represented,PASS,
CI27,bootstrap_completeness,bootstrap row 27,source row represented,PASS,
CIT01,citation_reference_consistency,"Ribeiro et al., 2020",citation token and matching reference present,PASS,
CIT02,citation_reference_consistency,"Guo et al., 2017",citation token and matching reference present,PASS,
CIT03,citation_reference_consistency,"Geng et al., 2023",citation token and matching reference present,PASS,
CIT04,citation_reference_consistency,"Ray, 2026",citation token and matching reference present,PASS,
CIT05,citation_reference_consistency,"Singh et al., 2026",citation token and matching reference present,PASS,
CIT06,citation_reference_consistency,"Liu et al., 2024",citation token and matching reference present,PASS,
CIT07,citation_reference_consistency,"Es et al., 2024",citation token and matching reference present,PASS,
CIT08,citation_reference_consistency,"Saad-Falcon et al., 2024",citation token and matching reference present,PASS,
CIT09,citation_reference_consistency,"Atanasova et al., 2022",citation token and matching reference present,PASS,
CIT10,citation_reference_consistency,"Raji et al., 2020",citation token and matching reference present,PASS,
CIT11,citation_reference_consistency,"Mozannar and Sontag, 2020",citation token and matching reference present,PASS,
CIT12,citation_reference_consistency,"Geifman and El-Yaniv, 2019",citation token and matching reference present,PASS,
CIT13,citation_reference_consistency,"Consumer Financial Protection Bureau, 2025",citation token and matching reference present,PASS,
CIT14,citation_reference_consistency,"Financial Stability Board, 2017",citation token and matching reference present,PASS,
CIT15,citation_reference_consistency,"Financial Stability Board, 2026",citation token and matching reference present,PASS,
CIT16,citation_reference_consistency,"Wohlin et al., 2012",citation token and matching reference present,PASS,
CIT17,citation_reference_consistency,"Pineau et al., 2021",citation token and matching reference present,PASS,
CIT18,citation_reference_consistency,"Motter and Lai, 2002",citation token and matching reference present,PASS,
CIT19,citation_reference_consistency,"Xie et al., 2026",citation token and matching reference present,PASS,
CIT20,citation_reference_consistency,"Jamshidi et al., 2026",citation token and matching reference present,PASS,
CIT21,citation_reference_consistency,"Qiu et al., 2026",citation token and matching reference present,PASS,
CIT22,citation_reference_consistency,"Solozobov, 2026",citation token and matching reference present,PASS,
REF01,reference_integrity,reference entries,22,PASS,
REF02,reference_integrity,preprint labels,7,PASS,
REF03,reference_integrity,FSB consultation status,consultation report; not final guidance,PASS,
TXT01,manuscript_structure,body word range,"6,320-8,000",PASS,
TXT02,manuscript_structure,tables,4,PASS,
TXT03,manuscript_structure,figures,4,PASS,
