metric,definition,safe_note
valid_chain_rate,Share of selected chains with both valid JSON and valid schema indicators.,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
decision_correct_rate,Share of chains where the decision-stage final decision matched the gold decision.,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
decision_failure_rate,Share of chains where the decision-stage final decision did not match the gold decision.,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
audit_pass_rate,Share of chains where the audit stage returned pass.,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
audit_false_assurance_rate,Share of chains where the audit stage passed although the decision-stage output was incorrect.,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
audit_detection_rate_on_decision_failure,"Among decision-stage failures, share where audit did not pass.",Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
undetected_decision_failure_rate,Share of all chains where the decision-stage output was incorrect and audit still passed.,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
escalation_correct_rate,Share of chains where the escalation-stage final decision matched the gold decision.,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
escalation_recovery_rate_on_decision_failure,"Among decision-stage failures, share recovered to the correct decision at escalation.",Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
escalation_loss_rate_on_decision_success,"Among decision-stage successes, share that became incorrect at escalation.",Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
cascade_failure_rate,Share of chains where the escalation-stage final decision was incorrect.,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
net_escalation_gain_rate,Escalation correct rate minus decision correct rate.,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
