provider,model_name,model_label,condition,metric,successes,n,estimate,ci_method,ci_lower,ci_upper,interpretation,safe_note
zai,glm-5.2,GLM-5.2,original_evidence,decision_correct,20,20,1.0,wilson_95,0.838875,1.0,Whether the decision-stage final decision matched the task gold decision.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
zai,glm-5.2,GLM-5.2,original_evidence,escalation_correct,20,20,1.0,wilson_95,0.838875,1.0,Whether the escalation-stage final decision matched the task gold decision.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
zai,glm-5.2,GLM-5.2,original_evidence,audit_passed,20,20,1.0,wilson_95,0.838875,1.0,Whether the audit stage passed the chain output.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
zai,glm-5.2,GLM-5.2,original_evidence,valid_json_chain,20,20,1.0,wilson_95,0.838875,1.0,Whether the selected sanitized chain is treated as JSON-valid for comparison.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
zai,glm-5.2,GLM-5.2,original_evidence,valid_schema_chain,20,20,1.0,wilson_95,0.838875,1.0,Whether the selected sanitized chain is schema-valid for comparison.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
anthropic,claude-opus-4-8,Claude Opus 4.8,original_evidence,decision_correct,20,20,1.0,wilson_95,0.838875,1.0,Whether the decision-stage final decision matched the task gold decision.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
anthropic,claude-opus-4-8,Claude Opus 4.8,original_evidence,escalation_correct,20,20,1.0,wilson_95,0.838875,1.0,Whether the escalation-stage final decision matched the task gold decision.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
anthropic,claude-opus-4-8,Claude Opus 4.8,original_evidence,audit_passed,20,20,1.0,wilson_95,0.838875,1.0,Whether the audit stage passed the chain output.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
anthropic,claude-opus-4-8,Claude Opus 4.8,original_evidence,valid_json_chain,20,20,1.0,wilson_95,0.838875,1.0,Whether the selected sanitized chain is treated as JSON-valid for comparison.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
anthropic,claude-opus-4-8,Claude Opus 4.8,original_evidence,valid_schema_chain,20,20,1.0,wilson_95,0.838875,1.0,Whether the selected sanitized chain is schema-valid for comparison.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
