abstract_call_order,recommended_option_id,base_packet_slot,stage,evidence_condition,future_call_type,model_provider,model_name,raw_prompt_write_allowed,raw_response_write_allowed,jsonl_write_allowed,sanitized_parser_required,abort_on_parse_failure
1,B_36_CALL_PAIRED_MICRO_PILOT,1,decision,clean,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
2,B_36_CALL_PAIRED_MICRO_PILOT,1,audit,clean,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
3,B_36_CALL_PAIRED_MICRO_PILOT,1,escalation,clean,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
4,B_36_CALL_PAIRED_MICRO_PILOT,1,decision,compressed,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
5,B_36_CALL_PAIRED_MICRO_PILOT,1,audit,compressed,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
6,B_36_CALL_PAIRED_MICRO_PILOT,1,escalation,compressed,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
7,B_36_CALL_PAIRED_MICRO_PILOT,1,decision,partial_dropout,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
8,B_36_CALL_PAIRED_MICRO_PILOT,1,audit,partial_dropout,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
9,B_36_CALL_PAIRED_MICRO_PILOT,1,escalation,partial_dropout,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
10,B_36_CALL_PAIRED_MICRO_PILOT,1,decision,noisy_conflicting,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
11,B_36_CALL_PAIRED_MICRO_PILOT,1,audit,noisy_conflicting,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
12,B_36_CALL_PAIRED_MICRO_PILOT,1,escalation,noisy_conflicting,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
13,B_36_CALL_PAIRED_MICRO_PILOT,2,decision,clean,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
14,B_36_CALL_PAIRED_MICRO_PILOT,2,audit,clean,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
15,B_36_CALL_PAIRED_MICRO_PILOT,2,escalation,clean,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
16,B_36_CALL_PAIRED_MICRO_PILOT,2,decision,compressed,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
17,B_36_CALL_PAIRED_MICRO_PILOT,2,audit,compressed,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
18,B_36_CALL_PAIRED_MICRO_PILOT,2,escalation,compressed,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
19,B_36_CALL_PAIRED_MICRO_PILOT,2,decision,partial_dropout,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
20,B_36_CALL_PAIRED_MICRO_PILOT,2,audit,partial_dropout,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
21,B_36_CALL_PAIRED_MICRO_PILOT,2,escalation,partial_dropout,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
