scope,provider,model_name,task_id,task_type,condition,gold_decision,decision_final_decision,audit_passed,escalation_final_decision,decision_correct,escalation_correct,stages_present,valid_json_chain,valid_schema_chain,source_kind,safe_note
Claude 5-task comparison subset,anthropic,claude-opus-4-8,P03-T0001,synthetic_administrative_approval,missing_one_required_unit,approve,reject,True,reject,False,False,True,True,True,committed_claude_chain_summary,"Stage-cascade tables are descriptive outputs from the controlled Pilot 03 setup. They use sanitized chain-level fields only and should not be interpreted as broad provider rankings, deployment evidence, or general model reliability claims."
Claude 5-task comparison subset,anthropic,claude-opus-4-8,P03-T0001,synthetic_administrative_approval,missing_policy_rule,approve,reject,False,approve,False,True,True,True,True,committed_claude_chain_summary,"Stage-cascade tables are descriptive outputs from the controlled Pilot 03 setup. They use sanitized chain-level fields only and should not be interpreted as broad provider rankings, deployment evidence, or general model reliability claims."
Claude 5-task comparison subset,anthropic,claude-opus-4-8,P03-T0001,synthetic_administrative_approval,original_evidence,approve,approve,True,approve,True,True,True,True,True,committed_claude_chain_summary,"Stage-cascade tables are descriptive outputs from the controlled Pilot 03 setup. They use sanitized chain-level fields only and should not be interpreted as broad provider rankings, deployment evidence, or general model reliability claims."
Claude 5-task comparison subset,anthropic,claude-opus-4-8,P03-T0002,synthetic_administrative_approval,missing_one_required_unit,reject,reject,True,reject,True,True,True,True,True,committed_claude_chain_summary,"Stage-cascade tables are descriptive outputs from the controlled Pilot 03 setup. They use sanitized chain-level fields only and should not be interpreted as broad provider rankings, deployment evidence, or general model reliability claims."
Claude 5-task comparison subset,anthropic,claude-opus-4-8,P03-T0002,synthetic_administrative_approval,missing_policy_rule,reject,reject,False,reject,True,True,True,True,True,committed_claude_chain_summary,"Stage-cascade tables are descriptive outputs from the controlled Pilot 03 setup. They use sanitized chain-level fields only and should not be interpreted as broad provider rankings, deployment evidence, or general model reliability claims."
Claude 5-task comparison subset,anthropic,claude-opus-4-8,P03-T0002,synthetic_administrative_approval,original_evidence,reject,reject,True,reject,True,True,True,True,True,committed_claude_chain_summary,"Stage-cascade tables are descriptive outputs from the controlled Pilot 03 setup. They use sanitized chain-level fields only and should not be interpreted as broad provider rankings, deployment evidence, or general model reliability claims."
Claude 5-task comparison subset,anthropic,claude-opus-4-8,P03-T0003,synthetic_administrative_approval,missing_one_required_unit,approve,reject,True,reject,False,False,True,True,True,committed_claude_chain_summary,"Stage-cascade tables are descriptive outputs from the controlled Pilot 03 setup. They use sanitized chain-level fields only and should not be interpreted as broad provider rankings, deployment evidence, or general model reliability claims."
Claude 5-task comparison subset,anthropic,claude-opus-4-8,P03-T0003,synthetic_administrative_approval,missing_policy_rule,approve,reject,False,approve,False,True,True,True,True,committed_claude_chain_summary,"Stage-cascade tables are descriptive outputs from the controlled Pilot 03 setup. They use sanitized chain-level fields only and should not be interpreted as broad provider rankings, deployment evidence, or general model reliability claims."
Claude 5-task comparison subset,anthropic,claude-opus-4-8,P03-T0003,synthetic_administrative_approval,original_evidence,approve,approve,True,approve,True,True,True,True,True,committed_claude_chain_summary,"Stage-cascade tables are descriptive outputs from the controlled Pilot 03 setup. They use sanitized chain-level fields only and should not be interpreted as broad provider rankings, deployment evidence, or general model reliability claims."
Claude 5-task comparison subset,anthropic,claude-opus-4-8,P03-T0004,synthetic_administrative_approval,missing_one_required_unit,reject,reject,True,reject,True,True,True,True,True,committed_claude_chain_summary,"Stage-cascade tables are descriptive outputs from the controlled Pilot 03 setup. They use sanitized chain-level fields only and should not be interpreted as broad provider rankings, deployment evidence, or general model reliability claims."
