task_id,task_type,condition,gold_decision,glm_model_name,claude_model_name,glm_decision_final_decision,claude_decision_final_decision,glm_escalation_final_decision,claude_escalation_final_decision,glm_decision_correct,claude_decision_correct,glm_escalation_correct,claude_escalation_correct,glm_audit_passed,claude_audit_passed,glm_valid_json_chain,claude_valid_json_chain,glm_valid_schema_chain,claude_valid_schema_chain,decision_correct_agreement,escalation_correct_agreement,audit_passed_agreement,glm_decision_only_correct,claude_decision_only_correct,both_decision_correct,both_decision_wrong,glm_escalation_only_correct,claude_escalation_only_correct,both_escalation_correct,both_escalation_wrong,safe_note
P03-T0001,synthetic_administrative_approval,missing_one_required_unit,approve,glm-5.2,claude-opus-4-8,reject,reject,reject,reject,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,True,"Descriptive full 20-task GLM-5.2 and Anthropic/Claude comparison under the controlled Pilot 03 setup. This report uses committed sanitized chain-level outputs only and should not be interpreted as broad deployment evidence, broad cross-provider conclusions, or general reliability claims."
P03-T0001,synthetic_administrative_approval,missing_policy_rule,approve,glm-5.2,claude-opus-4-8,reject,reject,approve,approve,False,False,True,True,False,False,True,True,True,True,True,True,True,False,False,False,True,False,False,True,False,"Descriptive full 20-task GLM-5.2 and Anthropic/Claude comparison under the controlled Pilot 03 setup. This report uses committed sanitized chain-level outputs only and should not be interpreted as broad deployment evidence, broad cross-provider conclusions, or general reliability claims."
P03-T0001,synthetic_administrative_approval,original_evidence,approve,glm-5.2,claude-opus-4-8,approve,approve,approve,approve,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,True,False,"Descriptive full 20-task GLM-5.2 and Anthropic/Claude comparison under the controlled Pilot 03 setup. This report uses committed sanitized chain-level outputs only and should not be interpreted as broad deployment evidence, broad cross-provider conclusions, or general reliability claims."
P03-T0002,synthetic_administrative_approval,missing_one_required_unit,reject,glm-5.2,claude-opus-4-8,reject,reject,reject,reject,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,"Descriptive full 20-task GLM-5.2 and Anthropic/Claude comparison under the controlled Pilot 03 setup. This report uses committed sanitized chain-level outputs only and should not be interpreted as broad deployment evidence, broad cross-provider conclusions, or general reliability claims."
P03-T0002,synthetic_administrative_approval,missing_policy_rule,reject,glm-5.2,claude-opus-4-8,reject,reject,reject,reject,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,False,False,False,True,False,"Descriptive full 20-task GLM-5.2 and Anthropic/Claude comparison under the controlled Pilot 03 setup. This report uses committed sanitized chain-level outputs only and should not be interpreted as broad deployment evidence, broad cross-provider conclusions, or general reliability claims."
P03-T0002,synthetic_administrative_approval,original_evidence,reject,glm-5.2,claude-opus-4-8,reject,reject,reject,reject,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,True,False,"Descriptive full 20-task GLM-5.2 and Anthropic/Claude comparison under the controlled Pilot 03 setup. This report uses committed sanitized chain-level outputs only and should not be interpreted as broad deployment evidence, broad cross-provider conclusions, or general reliability claims."
P03-T0003,synthetic_administrative_approval,missing_one_required_unit,approve,glm-5.2,claude-opus-4-8,reject,reject,reject,reject,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,False,True,"Descriptive full 20-task GLM-5.2 and Anthropic/Claude comparison under the controlled Pilot 03 setup. This report uses committed sanitized chain-level outputs only and should not be interpreted as broad deployment evidence, broad cross-provider conclusions, or general reliability claims."
P03-T0003,synthetic_administrative_approval,missing_policy_rule,approve,glm-5.2,claude-opus-4-8,reject,reject,approve,approve,False,False,True,True,False,False,True,True,True,True,True,True,True,False,False,False,True,False,False,True,False,"Descriptive full 20-task GLM-5.2 and Anthropic/Claude comparison under the controlled Pilot 03 setup. This report uses committed sanitized chain-level outputs only and should not be interpreted as broad deployment evidence, broad cross-provider conclusions, or general reliability claims."
P03-T0003,synthetic_administrative_approval,original_evidence,approve,glm-5.2,claude-opus-4-8,approve,approve,approve,approve,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,True,False,"Descriptive full 20-task GLM-5.2 and Anthropic/Claude comparison under the controlled Pilot 03 setup. This report uses committed sanitized chain-level outputs only and should not be interpreted as broad deployment evidence, broad cross-provider conclusions, or general reliability claims."
P03-T0004,synthetic_administrative_approval,missing_one_required_unit,reject,glm-5.2,claude-opus-4-8,reject,reject,reject,reject,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,"Descriptive full 20-task GLM-5.2 and Anthropic/Claude comparison under the controlled Pilot 03 setup. This report uses committed sanitized chain-level outputs only and should not be interpreted as broad deployment evidence, broad cross-provider conclusions, or general reliability claims."
