dry_run_version,task_id,task_type,condition,gold_decision,schema_valid,escalation_label,requires_human_review,escalation_confidence,escalation_reason
pilot_04_deterministic_dry_run_v1,P04-T0001,synthetic_loan_risk_decision_support,complete,decline,True,no_escalation,False,0.94,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0001,synthetic_loan_risk_decision_support,partial,decline,True,soft_escalation,True,0.7,Evidence-state degradation or audit concern triggers soft synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0001,synthetic_loan_risk_decision_support,conflicted,decline,True,mandatory_escalation,True,0.89,Audit concern under conflicted or low-alignment evidence triggers mandatory synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0002,synthetic_loan_risk_decision_support,complete,decline,True,no_escalation,False,0.94,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0002,synthetic_loan_risk_decision_support,partial,decline,True,soft_escalation,True,0.7,Evidence-state degradation or audit concern triggers soft synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0002,synthetic_loan_risk_decision_support,conflicted,decline,True,mandatory_escalation,True,0.89,Audit concern under conflicted or low-alignment evidence triggers mandatory synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0003,synthetic_loan_risk_decision_support,complete,review,True,no_escalation,False,0.94,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0003,synthetic_loan_risk_decision_support,partial,review,True,soft_escalation,True,0.88,Evidence-state degradation or audit concern triggers soft synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0003,synthetic_loan_risk_decision_support,conflicted,review,True,no_escalation,False,0.89,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0004,synthetic_loan_risk_decision_support,complete,approve,True,no_escalation,False,0.94,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0004,synthetic_loan_risk_decision_support,partial,approve,True,soft_escalation,True,0.7,Evidence-state degradation or audit concern triggers soft synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0004,synthetic_loan_risk_decision_support,conflicted,approve,True,mandatory_escalation,True,0.71,Audit concern under conflicted or low-alignment evidence triggers mandatory synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0005,synthetic_loan_risk_decision_support,complete,decline,True,no_escalation,False,0.94,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0005,synthetic_loan_risk_decision_support,partial,decline,True,soft_escalation,True,0.7,Evidence-state degradation or audit concern triggers soft synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0005,synthetic_loan_risk_decision_support,conflicted,decline,True,mandatory_escalation,True,0.89,Audit concern under conflicted or low-alignment evidence triggers mandatory synthetic review.
