dry_run_version,task_id,task_type,condition,gold_decision,visible_evidence_unit_ids,missing_required_evidence_unit_ids,n_visible_evidence_units,n_missing_required_evidence_units,decision_label,decision_matches_gold,decision_confidence,missing_evidence_acknowledged,audit_pass,evidence_alignment_score,unsupported_claim_count,missed_key_evidence_count,escalation_label,requires_human_review,escalation_confidence,all_stage_schemas_valid,prompt_instruction_text_exported,real_api_calls
pilot_04_deterministic_dry_run_v1,P04-T0001,synthetic_loan_risk_decision_support,complete,decline,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",[],7,0,decline,True,0.88,False,True,0.93,0,0,no_escalation,False,0.94,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0001,synthetic_loan_risk_decision_support,partial,decline,"[""E1"", ""E3"", ""E4"", ""E6"", ""E7""]","[""E2"", ""E5""]",5,2,review,False,0.52,True,False,0.58,0,0,soft_escalation,True,0.7,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0001,synthetic_loan_risk_decision_support,conflicted,decline,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",[],8,0,decline,True,0.68,False,False,0.77,0,0,mandatory_escalation,True,0.89,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0002,synthetic_loan_risk_decision_support,complete,decline,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",[],7,0,decline,True,0.88,False,True,0.93,0,0,no_escalation,False,0.94,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0002,synthetic_loan_risk_decision_support,partial,decline,"[""E1"", ""E3"", ""E4"", ""E6"", ""E7""]","[""E2"", ""E5""]",5,2,review,False,0.52,True,False,0.58,0,0,soft_escalation,True,0.7,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0002,synthetic_loan_risk_decision_support,conflicted,decline,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",[],8,0,decline,True,0.68,False,False,0.77,0,0,mandatory_escalation,True,0.89,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0003,synthetic_loan_risk_decision_support,complete,review,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",[],7,0,review,True,0.88,False,True,0.93,0,0,no_escalation,False,0.94,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0003,synthetic_loan_risk_decision_support,partial,review,"[""E1"", ""E3"", ""E4"", ""E6"", ""E7""]","[""E2"", ""E5""]",5,2,review,True,0.62,True,True,0.76,0,0,soft_escalation,True,0.88,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0003,synthetic_loan_risk_decision_support,conflicted,review,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",[],8,0,review,True,0.68,False,True,0.77,0,0,no_escalation,False,0.89,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0004,synthetic_loan_risk_decision_support,complete,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",[],7,0,approve,True,0.88,False,True,0.93,0,0,no_escalation,False,0.94,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0004,synthetic_loan_risk_decision_support,partial,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E7""]","[""E5"", ""E6""]",5,2,review,False,0.52,True,False,0.58,0,0,soft_escalation,True,0.7,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0004,synthetic_loan_risk_decision_support,conflicted,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",[],8,0,review,False,0.58,False,False,0.59,0,0,mandatory_escalation,True,0.71,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0005,synthetic_loan_risk_decision_support,complete,decline,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",[],7,0,decline,True,0.88,False,True,0.93,0,0,no_escalation,False,0.94,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0005,synthetic_loan_risk_decision_support,partial,decline,"[""E1"", ""E3"", ""E4"", ""E6"", ""E7""]","[""E2"", ""E5""]",5,2,review,False,0.52,True,False,0.58,0,0,soft_escalation,True,0.7,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0005,synthetic_loan_risk_decision_support,conflicted,decline,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",[],8,0,decline,True,0.68,False,False,0.77,0,0,mandatory_escalation,True,0.89,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0006,synthetic_loan_risk_decision_support,complete,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",[],7,0,approve,True,0.88,False,True,0.93,0,0,no_escalation,False,0.94,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0006,synthetic_loan_risk_decision_support,partial,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E7""]","[""E5"", ""E6""]",5,2,review,False,0.52,True,False,0.58,0,0,soft_escalation,True,0.7,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0006,synthetic_loan_risk_decision_support,conflicted,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",[],8,0,review,False,0.58,False,False,0.59,0,0,mandatory_escalation,True,0.71,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0007,synthetic_loan_risk_decision_support,complete,review,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",[],7,0,review,True,0.88,False,True,0.93,0,0,no_escalation,False,0.94,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0007,synthetic_loan_risk_decision_support,partial,review,"[""E1"", ""E3"", ""E4"", ""E6"", ""E7""]","[""E2"", ""E5""]",5,2,review,True,0.62,True,True,0.76,0,0,soft_escalation,True,0.88,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0007,synthetic_loan_risk_decision_support,conflicted,review,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",[],8,0,review,True,0.68,False,True,0.77,0,0,no_escalation,False,0.89,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0008,synthetic_loan_risk_decision_support,complete,review,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",[],7,0,review,True,0.88,False,True,0.93,0,0,no_escalation,False,0.94,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0008,synthetic_loan_risk_decision_support,partial,review,"[""E1"", ""E3"", ""E4"", ""E6"", ""E7""]","[""E2"", ""E5""]",5,2,review,True,0.62,True,True,0.76,0,0,soft_escalation,True,0.88,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0008,synthetic_loan_risk_decision_support,conflicted,review,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",[],8,0,review,True,0.68,False,True,0.77,0,0,no_escalation,False,0.89,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0009,synthetic_loan_risk_decision_support,complete,review,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",[],7,0,review,True,0.88,False,True,0.93,0,0,no_escalation,False,0.94,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0009,synthetic_loan_risk_decision_support,partial,review,"[""E1"", ""E3"", ""E4"", ""E6"", ""E7""]","[""E2"", ""E5""]",5,2,review,True,0.62,True,True,0.76,0,0,soft_escalation,True,0.88,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0009,synthetic_loan_risk_decision_support,conflicted,review,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",[],8,0,review,True,0.68,False,True,0.77,0,0,no_escalation,False,0.89,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0010,synthetic_loan_risk_decision_support,complete,review,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",[],7,0,review,True,0.88,False,True,0.93,0,0,no_escalation,False,0.94,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0010,synthetic_loan_risk_decision_support,partial,review,"[""E1"", ""E3"", ""E4"", ""E6"", ""E7""]","[""E2"", ""E5""]",5,2,review,True,0.62,True,True,0.76,0,0,soft_escalation,True,0.88,True,False,0
pilot_04_deterministic_dry_run_v1,P04-T0010,synthetic_loan_risk_decision_support,conflicted,review,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",[],8,0,review,True,0.68,False,True,0.77,0,0,no_escalation,False,0.89,True,False,0
