call_id,stage,task_id,evidence_condition_id,evidence_condition_label,packet_id,packet_match_method,evidence_text_hash,api_status,parsed_json_valid,primary_output_code,evidence_sufficiency_rating,uncertainty_rating,confidence_bin,issue_codes,reason_code,prompt_tokens,completion_tokens,total_tokens,estimated_cost_gbp,latency_ms
pilot05_glm52_micro_0004,decision,task_04,unknown_condition,unknown_condition,P05_CFPB_PKT_000004,cyclic_fallback,e7bd1108d4113cbfee636eebc13548b764dad4ca6341706ca1854c3ecbceada2,success_missing_message_content,False,unclassifiable,low,high,low,schema_uncertainty,schema_only,453,512,965,0.002454,7216
pilot05_glm52_micro_0005,audit,task_05,unknown_condition,unknown_condition,P05_CFPB_PKT_000005,cyclic_fallback,d946d342b69a47345510a3479b31daf0981993684c8bbcf3cfdcf785960a47ba,success,True,audit_flag_evidence_gap,low,high,low,missing_key_fact|schema_uncertainty,evidence_missing,441,400,841,0.002021,7294
pilot05_glm52_micro_0006,escalation,task_06,unknown_condition,unknown_condition,P05_CFPB_PKT_000006,cyclic_fallback,7ef9c9672fbbf7d63ba0f37bbad87cf25f782d114c07cb87287f51ec9edb08a1,success,True,escalate_missing_evidence,low,high,low,missing_key_fact|low_specificity,evidence_missing,446,385,831,0.001971,6349
pilot05_glm52_micro_0007,decision,task_07,unknown_condition,unknown_condition,P05_CFPB_PKT_000007,cyclic_fallback,45f110fee60facf12b9f18fdf1f2e2db24dffdb2a951f8ae428f4f0aea8df60b,success_missing_message_content,False,unclassifiable,low,high,low,schema_uncertainty,schema_only,444,512,956,0.002443,9317
pilot05_glm52_micro_0008,audit,task_08,unknown_condition,unknown_condition,P05_CFPB_PKT_000008,cyclic_fallback,dcee2c3714f9424659962f88756d768d9ea987140b52b98d0e2aadde0a3962e7,success_missing_message_content,False,unclassifiable,low,high,low,schema_uncertainty,schema_only,437,512,949,0.002435,9634
pilot05_glm52_micro_0009,escalation,task_09,unknown_condition,unknown_condition,P05_CFPB_PKT_000009,cyclic_fallback,c098e39eece8048dc903792bc7ed9f7826a3362560c8edcc8ff763a47027a039,success,True,escalate_missing_evidence,low,medium,low,missing_key_fact|low_specificity,evidence_missing,450,485,935,0.002349,7937
pilot05_glm52_micro_0010,decision,task_10,unknown_condition,unknown_condition,P05_CFPB_PKT_000010,cyclic_fallback,7ef9c9672fbbf7d63ba0f37bbad87cf25f782d114c07cb87287f51ec9edb08a1,success,False,unclassifiable,low,high,low,schema_uncertainty,schema_only,445,512,957,0.002444,7209
pilot05_glm52_micro_0011,audit,task_11,unknown_condition,unknown_condition,P05_CFPB_PKT_000011,cyclic_fallback,ae391490ea1a7b2c58c7db1516b5e1855afc4023db17d7a92b919850d93623dc,success_missing_message_content,False,unclassifiable,low,high,low,schema_uncertainty,schema_only,447,512,959,0.002447,7479
pilot05_glm52_micro_0012,escalation,task_12,unknown_condition,unknown_condition,P05_CFPB_PKT_000012,cyclic_fallback,daf45a23c3cb13529105c99bac6679fa925e167f7dbfb5baed7ca3353c27cb39,success,True,escalate_missing_evidence,low,high,low,missing_key_fact|low_specificity,evidence_missing,450,420,870,0.002106,6956
pilot05_glm52_micro_0013,decision,task_01,unknown_condition,unknown_condition,P05_CFPB_PKT_000013,cyclic_fallback,09e9c936d32e692769ea8261973c5ede5c673113de720d3759f0594ace3d866e,success_missing_message_content,False,unclassifiable,low,high,low,schema_uncertainty,schema_only,436,512,948,0.002434,8499
