check_id,metric,authoritative_values,authoritative_source_evidence,manuscript_evidence,status,notes
NUM-001,planned calls,720,reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_paper_ready_main_results_table.csv: metric=call_plan_rows; value=720; unit_or_type=count; paper_ready=yes,L128: | call_plan_rows | 720 | count | yes | || L320: | call_plan_rows | 720 | count | yes | || L365: | Single pilot scale | 720 planned calls in one pilot run; not a multi-run replication yet. | || L428: | Single pilot scale | 720 planned calls in one pilot run; not a multi-run replication yet. |,PASS,Exact authoritative 05AR main-results metric-key resolution with line-based manuscript matching; human semantic review remains required.
NUM-002,ledger rows,720,reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_paper_ready_main_results_table.csv: metric=ledger_rows; value=720; unit_or_type=count; paper_ready=yes,L129: | ledger_rows | 720 | count | yes | || L321: | ledger_rows | 720 | count | yes |,PASS,Exact authoritative 05AR main-results metric-key resolution with line-based manuscript matching; human semantic review remains required.
NUM-003,sanitized execution rows,713,reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_paper_ready_main_results_table.csv: metric=sanitized_execution_rows; value=713; unit_or_type=count; paper_ready=yes,L130: | sanitized_execution_rows | 713 | count | yes | || L322: | sanitized_execution_rows | 713 | count | yes |,PASS,Exact authoritative 05AR main-results metric-key resolution with line-based manuscript matching; human semantic review remains required.
NUM-004,ledger-only missing sanitized rows,7 | seven,"reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_paper_ready_main_results_table.csv: metric=ledger_only_missing_sanitized_rows; value=7; unit_or_type=count; paper_ready=yes, disclosed as limitation","L136: | ledger_only_missing_sanitized_rows | 7 | count | yes, disclosed as limitation | || L328: | ledger_only_missing_sanitized_rows | 7 | count | yes, disclosed as limitation | || L363: | Missing sanitized rows | 7 ledger rows have no corresponding sanitized execution row; excluded from execution-level metrics. | || L426: | Missing sanitized rows | 7 ledger rows have no corresponding sanitized execution row; excluded from execution-level metrics. |",PASS,Exact authoritative 05AR main-results metric-key resolution with line-based manuscript matching; human semantic review remains required.
NUM-005,ledger parser-valid,470,reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_paper_ready_main_results_table.csv: metric=ledger_parser_valid_true; value=470; unit_or_type=count; paper_ready=yes,L132: | ledger_parser_valid_true | 470 | count | yes | || L324: | ledger_parser_valid_true | 470 | count | yes |,PASS,Exact authoritative 05AR main-results metric-key resolution with line-based manuscript matching; human semantic review remains required.
NUM-006,ledger parser-invalid,250,reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_paper_ready_main_results_table.csv: metric=ledger_parser_valid_false; value=250; unit_or_type=count; paper_ready=yes,L133: | ledger_parser_valid_false | 250 | count | yes | || L325: | ledger_parser_valid_false | 250 | count | yes |,PASS,Exact authoritative 05AR main-results metric-key resolution with line-based manuscript matching; human semantic review remains required.
NUM-007,persisted parser-valid,470,reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_paper_ready_main_results_table.csv: metric=persisted_parser_valid_true; value=470; unit_or_type=count; paper_ready=yes,L134: | persisted_parser_valid_true | 470 | count | yes | || L326: | persisted_parser_valid_true | 470 | count | yes |,PASS,Exact authoritative 05AR main-results metric-key resolution with line-based manuscript matching; human semantic review remains required.
NUM-008,persisted parser-invalid,243,reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_paper_ready_main_results_table.csv: metric=persisted_parser_valid_false; value=243; unit_or_type=count; paper_ready=yes,L135: | persisted_parser_valid_false | 243 | count | yes | || L327: | persisted_parser_valid_false | 243 | count | yes |,PASS,Exact authoritative 05AR main-results metric-key resolution with line-based manuscript matching; human semantic review remains required.
NUM-009,stage-success delta lower bound,-0.517241 | -51.7241%,reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_paper_ready_main_results_table.csv: metric=stage_success_delta_min; value=-0.517241; unit_or_type=proportion_delta; paper_ready=yes,L138: | stage_success_delta_min | -0.517241 | proportion_delta | yes | || L330: | stage_success_delta_min | -0.517241 | proportion_delta | yes |,PASS,Exact authoritative 05AR main-results metric-key resolution with line-based manuscript matching; human semantic review remains required.
NUM-010,stage-success delta upper bound,-0.406780 | -40.6780%,reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_paper_ready_main_results_table.csv: metric=stage_success_delta_max; value=-0.40678; unit_or_type=proportion_delta; paper_ready=yes,L139: | stage_success_delta_max | -0.40678 | proportion_delta | yes | || L331: | stage_success_delta_max | -0.40678 | proportion_delta | yes |,PASS,Exact authoritative 05AR main-results metric-key resolution with line-based manuscript matching; human semantic review remains required.
