check_id,check,status,source_id,citation_label,evidence,required_action
CITE-001,Unresolved citation placeholders,PASS,,,,
CITE-002,Usage-register citation mapping,PASS,SRC-CHECKLIST-2020,"Ribeiro et al., 2020",registered=True; label_in_manuscript=True; title_in_reference_list=True,
CITE-003,Usage-register citation mapping,PASS,SRC-CALIBRATION-2017,"Guo et al., 2017",registered=True; label_in_manuscript=True; title_in_reference_list=True,
CITE-004,Usage-register citation mapping,PASS,SRC-GCD-2023,"Geng et al., 2023",registered=True; label_in_manuscript=True; title_in_reference_list=True,
CITE-005,Usage-register citation mapping,PASS,SRC-CONSTRAINT-TAX-2026,"Ray, 2026, preprint",registered=True; label_in_manuscript=True; title_in_reference_list=True,
CITE-PRE-004,Preprint labelling,PASS,SRC-CONSTRAINT-TAX-2026,"Ray, 2026, preprint",- Jaideep Ray (2026). *The Constraint Tax: Measuring Validity-Correctness Tradeoffs in Structured Outputs for Small Language Models*. arXiv preprint. arXiv:2605.26128. https://arxiv.org/abs/2605.26128. [Preprint; not peer reviewed as verified in 05AX.],
CITE-006,Usage-register citation mapping,PASS,SRC-STRUCTURED-BENCH-2026,"Singh et al., 2026, preprint",registered=True; label_in_manuscript=True; title_in_reference_list=True,
CITE-PRE-005,Preprint labelling,PASS,SRC-STRUCTURED-BENCH-2026,"Singh et al., 2026, preprint",- Abhinav Kumar Singh; Harsha Vardhan Khurdula; Yoeven D Khemlani; Vineet Agarwal (2026). *The Structured Output Benchmark*. arXiv preprint. arXiv:2604.25359. https://arxiv.org/abs/2604.25359. [Preprint; not peer reviewed as verified in 05AX.],
CITE-007,Usage-register citation mapping,PASS,SRC-AGENTBENCH-2024,"Liu et al., 2024",registered=True; label_in_manuscript=True; title_in_reference_list=True,
CITE-008,Usage-register citation mapping,PASS,SRC-RAGAS-2024,"Es et al., 2024",registered=True; label_in_manuscript=True; title_in_reference_list=True,
CITE-009,Usage-register citation mapping,PASS,SRC-ARES-2024,"Saad-Falcon et al., 2024",registered=True; label_in_manuscript=True; title_in_reference_list=True,
CITE-010,Usage-register citation mapping,PASS,SRC-INSUFFICIENT-EVIDENCE-2022,"Atanasova et al., 2022, preprint",registered=True; label_in_manuscript=True; title_in_reference_list=True,
CITE-PRE-009,Preprint labelling,PASS,SRC-INSUFFICIENT-EVIDENCE-2022,"Atanasova et al., 2022, preprint",- Pepa Atanasova; Jakob Grue Simonsen; Christina Lioma; Isabelle Augenstein (2022). *Fact Checking with Insufficient Evidence*. arXiv preprint. arXiv:2204.02007. https://arxiv.org/abs/2204.02007. [Preprint; not peer reviewed as verified in 05AX.],
CITE-011,Usage-register citation mapping,PASS,SRC-AUDIT-2020,"Raji et al., 2020",registered=True; label_in_manuscript=True; title_in_reference_list=True,
CITE-012,Usage-register citation mapping,PASS,SRC-DEFER-2020,"Mozannar and Sontag, 2020",registered=True; label_in_manuscript=True; title_in_reference_list=True,
CITE-013,Usage-register citation mapping,PASS,SRC-SELECTIVENET-2019,"Geifman and El-Yaniv, 2019",registered=True; label_in_manuscript=True; title_in_reference_list=True,
CITE-014,Usage-register citation mapping,PASS,SRC-CFPB-DATABASE,"Consumer Financial Protection Bureau, 2025",registered=True; label_in_manuscript=True; title_in_reference_list=True,
CITE-015,Usage-register citation mapping,PASS,SRC-FSB-AI-2017,"Financial Stability Board, 2017",registered=True; label_in_manuscript=True; title_in_reference_list=True,
CITE-016,Usage-register citation mapping,PASS,SRC-FSB-AI-2026,"Financial Stability Board, 2026, consultation report",registered=True; label_in_manuscript=True; title_in_reference_list=True,
CITE-017,Usage-register citation mapping,PASS,SRC-WOHLIN-2012,"Wohlin et al., 2012",registered=True; label_in_manuscript=True; title_in_reference_list=True,
CITE-018,Usage-register citation mapping,PASS,SRC-REPRO-2021,"Pineau et al., 2021",registered=True; label_in_manuscript=True; title_in_reference_list=True,
CITE-019,Usage-register citation mapping,PASS,SRC-CASCADE-NETWORKS-2002,"Motter and Lai, 2002",registered=True; label_in_manuscript=True; title_in_reference_list=True,
CITE-020,Usage-register citation mapping,PASS,SRC-SPARK-FIRE-2026,"Xie et al., 2026, preprint",registered=True; label_in_manuscript=True; title_in_reference_list=True,
CITE-PRE-019,Preprint labelling,PASS,SRC-SPARK-FIRE-2026,"Xie et al., 2026, preprint",- Yizhe Xie; Congcong Zhu; Xinyue Zhang; Tianqing Zhu; Dayong Ye; Minfeng Qi; Huajie Chen; Wanlei Zhou (2026). *From Spark to Fire: Modeling and Mitigating Error Cascades in LLM-Based Multi-Agent Collaboration*. arXiv preprint. arXiv:2603.04474. https://arxiv.org/abs/2603.04474. [Preprint; not peer reviewed as verified in 05AX.],
CITE-021,Usage-register citation mapping,PASS,SRC-HALLUCINATION-CASCADE-2026,"Jamshidi et al., 2026, preprint",registered=True; label_in_manuscript=True; title_in_reference_list=True,
CITE-PRE-020,Preprint labelling,PASS,SRC-HALLUCINATION-CASCADE-2026,"Jamshidi et al., 2026, preprint",- Saeid Jamshidi; Arghavan Moradi Dakhel; Kawser Wazed Nafi; Foutse Khomh (2026). *Hallucination Cascade: Analyzing Error Propagation in Multi-Agent LLM Systems*. arXiv preprint. arXiv:2606.07937. https://arxiv.org/abs/2606.07937. [Preprint; not peer reviewed as verified in 05AX.],
CITE-022,Usage-register citation mapping,PASS,SRC-SURE-RAG-2026,"Qiu et al., 2026, preprint",registered=True; label_in_manuscript=True; title_in_reference_list=True,
CITE-PRE-021,Preprint labelling,PASS,SRC-SURE-RAG-2026,"Qiu et al., 2026, preprint",- Jingxi Qiu; Zeyu Han; Cheng Huang (2026). *SURE-RAG: Sufficiency and Uncertainty-Aware Evidence Verification for Selective Retrieval-Augmented Generation*. arXiv preprint. arXiv:2605.03534. https://arxiv.org/abs/2605.03534. [Preprint; not peer reviewed as verified in 05AX.],
CITE-023,Usage-register citation mapping,PASS,SRC-EVIDENCE-DELAY-2026,"Solozobov, 2026, preprint",registered=True; label_in_manuscript=True; title_in_reference_list=True,
CITE-PRE-022,Preprint labelling,PASS,SRC-EVIDENCE-DELAY-2026,"Solozobov, 2026, preprint",- Oleg Solozobov (2026). *Evidence Sufficiency Under Delayed Ground Truth*. arXiv preprint. arXiv:2604.15740. https://arxiv.org/abs/2604.15740. [Preprint; not peer reviewed as verified in 05AX.],
CITE-PLACEHOLDER-REGISTER,05AY placeholder resolution register,PASS,,,unresolved_rows=0,
CITE-FSB-01,2026 FSB consultation labelling,PASS,SRC-FSB-AI-2026,,"- Financial Stability Board (2026). *Sound Practices for Responsible Adoption of Artificial Intelligence: Consultation report*. Financial Stability Board. Consultation report, 2026-06-10. https://www.fsb.org/2026/06/sound-practices-for-responsible-adoption-of-artificial-intelligence-consultation-report/. [Consultation report; not final guidance.]",
