base_case_id,evidence_condition,is_degraded_condition,model,stages_present_count,sequence_complete,decision_present,decision_parser_valid,decision_evidence_state_adequate,decision_failure_family,audit_present,audit_parser_valid,audit_evidence_state_adequate,audit_failure_family,escalation_present,escalation_parser_valid,escalation_evidence_state_adequate,escalation_failure_family,parser_valid_all_three,evidence_state_adequate_all_three,audit_detected_degradation,audit_false_assurance,escalation_recovery,cascade_sequence_type,cascade_failure,cascade_failure_family_summary
P05_CFPB_PKT_000190,clean,False,glm-5.2,3,True,1,1,1,none,1,1,1,none,1,1,1,none,1,1,0,0,,preserved_or_clean_success,0,none
P05_CFPB_PKT_000190,compressed_lossy,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,1,0,,detected_not_recovered,1,decision:evidence_loss;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_000190,noisy_conflicting,True,glm-5.2,3,True,1,1,1,conflict_unresolved,1,0,,json_parse_error,1,0,,json_parse_error,0,0,,,,parser_failure_cascade,1,decision:conflict_unresolved;audit:json_parse_error;escalation:json_parse_error
P05_CFPB_PKT_000190,partial_dropout,True,glm-5.2,3,True,1,1,0,evidence_loss,1,0,,json_parse_error,1,0,,json_parse_error,0,0,,,,parser_failure_cascade,1,decision:evidence_loss;audit:json_parse_error;escalation:json_parse_error
P05_CFPB_PKT_000219,clean,False,glm-5.2,3,True,1,0,,json_parse_error,1,1,1,none,1,0,,json_parse_error,0,0,0,0,,parser_failure_cascade,1,decision:json_parse_error;escalation:json_parse_error
P05_CFPB_PKT_000219,compressed_lossy,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,1,0,,detected_not_recovered,1,decision:evidence_loss;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_000219,noisy_conflicting,True,glm-5.2,3,True,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,0,1,0,,detected_not_recovered,1,decision:conflict_unresolved;audit:conflict_unresolved;escalation:conflict_unresolved
P05_CFPB_PKT_000219,partial_dropout,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,1,0,,detected_not_recovered,1,decision:evidence_loss;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_000605,clean,False,glm-5.2,3,True,1,1,1,none,1,1,1,none,1,1,1,none,1,1,0,0,,preserved_or_clean_success,0,none
P05_CFPB_PKT_000605,compressed_lossy,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,1,0,,detected_not_recovered,1,decision:evidence_loss;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_000605,noisy_conflicting,True,glm-5.2,3,True,1,0,,json_parse_error,1,1,0,conflict_unresolved,1,0,,json_parse_error,0,0,1,0,,parser_failure_cascade,1,decision:json_parse_error;audit:conflict_unresolved;escalation:json_parse_error
P05_CFPB_PKT_000605,partial_dropout,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,1,0,,detected_not_recovered,1,decision:evidence_loss;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_000987,clean,False,glm-5.2,3,True,1,0,,json_parse_error,1,0,,json_parse_error,1,0,,json_parse_error,0,0,,,,parser_failure_cascade,1,decision:json_parse_error;audit:json_parse_error;escalation:json_parse_error
