cascade_sequence,condition,parser_sequence_or_pattern,n_rows,parser_valid_count,parser_invalid_count,parser_unknown_count,parser_valid_rate,interpretation_label,cascade_interpretation,evidence_state_relevance,claim_boundary
cascade_01,UNKNOWN_CONDITION,not_available,not_available,not_available,not_available,not_available,not_available,rate_not_available,Parser-validity rate was not available from the metric row; interpretation is limited to the row-level evidence provided.,Sequence-level interpretation is the closest 05AL output to the reliability-cascade concept because it keeps stage order and propagation visible.,This sequence-level evidence is controlled and preliminary; it does not establish real-world deployment validity.
cascade_02,unknown_condition,not_available,not_available,not_available,not_available,not_available,not_available,rate_not_available,Parser-validity rate was not available from the metric row; interpretation is limited to the row-level evidence provided.,Sequence-level interpretation is the closest 05AL output to the reliability-cascade concept because it keeps stage order and propagation visible.,This sequence-level evidence is controlled and preliminary; it does not establish real-world deployment validity.
cascade_03,unknown_condition,not_available,not_available,not_available,not_available,not_available,not_available,rate_not_available,Parser-validity rate was not available from the metric row; interpretation is limited to the row-level evidence provided.,Sequence-level interpretation is the closest 05AL output to the reliability-cascade concept because it keeps stage order and propagation visible.,This sequence-level evidence is controlled and preliminary; it does not establish real-world deployment validity.
cascade_04,unknown_condition,not_available,not_available,not_available,not_available,not_available,not_available,rate_not_available,Parser-validity rate was not available from the metric row; interpretation is limited to the row-level evidence provided.,Sequence-level interpretation is the closest 05AL output to the reliability-cascade concept because it keeps stage order and propagation visible.,This sequence-level evidence is controlled and preliminary; it does not establish real-world deployment validity.
cascade_05,unknown_condition,not_available,not_available,not_available,not_available,not_available,not_available,rate_not_available,Parser-validity rate was not available from the metric row; interpretation is limited to the row-level evidence provided.,Sequence-level interpretation is the closest 05AL output to the reliability-cascade concept because it keeps stage order and propagation visible.,This sequence-level evidence is controlled and preliminary; it does not establish real-world deployment validity.
cascade_06,unknown_condition,not_available,not_available,not_available,not_available,not_available,not_available,rate_not_available,Parser-validity rate was not available from the metric row; interpretation is limited to the row-level evidence provided.,Sequence-level interpretation is the closest 05AL output to the reliability-cascade concept because it keeps stage order and propagation visible.,This sequence-level evidence is controlled and preliminary; it does not establish real-world deployment validity.
cascade_07,unknown_condition,not_available,not_available,not_available,not_available,not_available,not_available,rate_not_available,Parser-validity rate was not available from the metric row; interpretation is limited to the row-level evidence provided.,Sequence-level interpretation is the closest 05AL output to the reliability-cascade concept because it keeps stage order and propagation visible.,This sequence-level evidence is controlled and preliminary; it does not establish real-world deployment validity.
cascade_08,unknown_condition,not_available,not_available,not_available,not_available,not_available,not_available,rate_not_available,Parser-validity rate was not available from the metric row; interpretation is limited to the row-level evidence provided.,Sequence-level interpretation is the closest 05AL output to the reliability-cascade concept because it keeps stage order and propagation visible.,This sequence-level evidence is controlled and preliminary; it does not establish real-world deployment validity.
cascade_09,unknown_condition,not_available,not_available,not_available,not_available,not_available,not_available,rate_not_available,Parser-validity rate was not available from the metric row; interpretation is limited to the row-level evidence provided.,Sequence-level interpretation is the closest 05AL output to the reliability-cascade concept because it keeps stage order and propagation visible.,This sequence-level evidence is controlled and preliminary; it does not establish real-world deployment validity.
cascade_10,unknown_condition,not_available,not_available,not_available,not_available,not_available,not_available,rate_not_available,Parser-validity rate was not available from the metric row; interpretation is limited to the row-level evidence provided.,Sequence-level interpretation is the closest 05AL output to the reliability-cascade concept because it keeps stage order and propagation visible.,This sequence-level evidence is controlled and preliminary; it does not establish real-world deployment validity.
cascade_11,unknown_condition,not_available,not_available,not_available,not_available,not_available,not_available,rate_not_available,Parser-validity rate was not available from the metric row; interpretation is limited to the row-level evidence provided.,Sequence-level interpretation is the closest 05AL output to the reliability-cascade concept because it keeps stage order and propagation visible.,This sequence-level evidence is controlled and preliminary; it does not establish real-world deployment validity.
cascade_12,unknown_condition,not_available,not_available,not_available,not_available,not_available,not_available,rate_not_available,Parser-validity rate was not available from the metric row; interpretation is limited to the row-level evidence provided.,Sequence-level interpretation is the closest 05AL output to the reliability-cascade concept because it keeps stage order and propagation visible.,This sequence-level evidence is controlled and preliminary; it does not establish real-world deployment validity.
