check_id,construct_or_term,status,evidence,required_action
NOT-001,Evidence-State Reliability term,PASS,"L7:  | L8: # Evidence-State Reliability in Multi-Stage LLM Decision Pipelines | L9:  || L15:  | L16: LLM evaluation commonly emphasizes final-output validity, parser compliance, or answer-level correctness. In multi-stage decision pipelines, however, downstream outputs may remain parser-valid even when the evidence state reaching the downstream stage has been degraded. This study introduces Evidence-State Reliability as a reliability layer concerned with whether intermediate evidence states remain sufficiently complete, grounded, and usable across a multi-stage LLM decision pipeline. Using committed Pilot 05 outputs only, the study analyzes a sanitized, CFPB-backed, scaled GLM-5.2 pipeline experiment with controlled evidence-state degradation across decision, audit, and escalation stages. The central result is a divergence between parser validity and evidence-state reliability: parser validity improves under degraded evidence while stage/evidence success deteriorates. This supports the paper's core claim that parser validity is not a sufficient proxy for evidence-state reliability. The contribution is a reproducible empirical framing for reliability cascades in multi-stage LLM decision systems, with paper-ready tables, figures, claim boundaries, and repo-wide validation artifacts. | L17:  || L15:  | L16: LLM evaluation commonly emphasizes final-output validity, parser compliance, or answer-level correctness. In multi-stage decision pipelines, however, downstream outputs may remain parser-valid even when the evidence state reaching the downstream stage has been degraded. This study introduces Evidence-State Reliability as a reliability layer concerned with whether intermediate evidence states remain sufficiently complete, grounded, and usable across a multi-stage LLM decision pipeline. Using committed Pilot 05 outputs only, the study analyzes a sanitized, CFPB-backed, scaled GLM-5.2 pipeline experiment with controlled evidence-state degradation across decision, audit, and escalation stages. The central result is a divergence between parser validity and evidence-state reliability: parser validity improves under degraded evidence while stage/evidence success deteriorates. This supports the paper's core claim that parser validity is not a sufficient proxy for evidence-state reliability. The contribution is a reproducible empirical framing for reliability cascades in multi-stage LLM decision systems, with paper-ready tables, figures, claim boundaries, and repo-wide validation artifacts. | L17:  || L15:  | L16: LLM evaluation commonly emphasizes final-output validity, parser compliance, or answer-level correctness. In multi-stage decision pipelines, however, downstream outputs may remain parser-valid even when the evidence state reaching the downstream stage has been degraded. This study introduces Evidence-State Reliability as a reliability layer concerned with whether intermediate evidence states remain sufficiently complete, grounded, and usable across a multi-stage LLM decision pipeline. Using committed Pilot 05 outputs only, the study analyzes a sanitized, CFPB-backed, scaled GLM-5.2 pipeline experiment with controlled evidence-state degradation across decision, audit, and escalation stages. The central result is a divergence between parser validity and evidence-state reliability: parser validity improves under degraded evidence while stage/evidence success deteriorates. This supports the paper's core claim that parser validity is not a sufficient proxy for evidence-state reliability. The contribution is a reproducible empirical framing for reliability cascades in multi-stage LLM decision systems, with paper-ready tables, figures, claim boundaries, and repo-wide validation artifacts. | L17:  || L19:  | L20: Evidence-State Reliability; Reliability Cascades; LLM Evaluation; Multi-Stage Decision Pipelines; Parser Validity; Auditability; Escalation; CFPB; Reproducibility; GLM-5.2 | L21: ",
NOT-002,ESR abbreviation,PASS,"L613: \qquad | L614: \widehat{\mathrm{ESR}}_{c,k} | L615: = || L620: \(\widehat{\mathrm{PV}}_{c,k}\) measures machine-readable structural | L621: conformance, whereas \(\widehat{\mathrm{ESR}}_{c,k}\) measures success under an | L622: evidence-sensitive stage criterion. A parser-valid output may therefore remain",
NOT-003,Evidence state definition,PASS,"L15:  | L16: LLM evaluation commonly emphasizes final-output validity, parser compliance, or answer-level correctness. In multi-stage decision pipelines, however, downstream outputs may remain parser-valid even when the evidence state reaching the downstream stage has been degraded. This study introduces Evidence-State Reliability as a reliability layer concerned with whether intermediate evidence states remain sufficiently complete, grounded, and usable across a multi-stage LLM decision pipeline. Using committed Pilot 05 outputs only, the study analyzes a sanitized, CFPB-backed, scaled GLM-5.2 pipeline experiment with controlled evidence-state degradation across decision, audit, and escalation stages. The central result is a divergence between parser validity and evidence-state reliability: parser validity improves under degraded evidence while stage/evidence success deteriorates. This supports the paper's core claim that parser validity is not a sufficient proxy for evidence-state reliability. The contribution is a reproducible empirical framing for reliability cascades in multi-stage LLM decision systems, with paper-ready tables, figures, claim boundaries, and repo-wide validation artifacts. | L17:  || L23:  | L24: Multi-stage LLM decision systems do not only fail at the final answer layer. They can also fail when the evidence state passed from one stage to another becomes degraded, incomplete, or misleading while the downstream output remains structurally parser-valid. This creates a reliability problem that is easy to miss if evaluation stops at final-output parsability. | L25:  || L25:  | L26: The problem is especially important in decision pipelines where an upstream evidence packet informs downstream decision, audit, and escalation behavior. A parser-valid output can satisfy the required schema while still being grounded in a degraded evidence state. In such cases, parser validity may provide a false sense of operational reliability. | L27:  || L27:  | L28: This paper frames that problem as Evidence-State Reliability. Evidence-State Reliability is the reliability of the intermediate evidence state used by downstream stages in a decision pipeline. It is distinct from final-output validity, parser compliance, and answer-level surface correctness. | L29:  || L45:  | L46: Evidence-State Reliability refers to whether the evidence state passed through a decision pipeline remains complete, grounded, and usable enough for downstream stages. It is not the same as parser validity. Parser validity is a structural signal: it tells us whether the output satisfies a required schema. It does not tell us whether the evidence used by the pipeline was reliable. | L47: ",
NOT-004,Parser validity definition,PASS,"L15:  | L16: LLM evaluation commonly emphasizes final-output validity, parser compliance, or answer-level correctness. In multi-stage decision pipelines, however, downstream outputs may remain parser-valid even when the evidence state reaching the downstream stage has been degraded. This study introduces Evidence-State Reliability as a reliability layer concerned with whether intermediate evidence states remain sufficiently complete, grounded, and usable across a multi-stage LLM decision pipeline. Using committed Pilot 05 outputs only, the study analyzes a sanitized, CFPB-backed, scaled GLM-5.2 pipeline experiment with controlled evidence-state degradation across decision, audit, and escalation stages. The central result is a divergence between parser validity and evidence-state reliability: parser validity improves under degraded evidence while stage/evidence success deteriorates. This supports the paper's core claim that parser validity is not a sufficient proxy for evidence-state reliability. The contribution is a reproducible empirical framing for reliability cascades in multi-stage LLM decision systems, with paper-ready tables, figures, claim boundaries, and repo-wide validation artifacts. | L17:  || L15:  | L16: LLM evaluation commonly emphasizes final-output validity, parser compliance, or answer-level correctness. In multi-stage decision pipelines, however, downstream outputs may remain parser-valid even when the evidence state reaching the downstream stage has been degraded. This study introduces Evidence-State Reliability as a reliability layer concerned with whether intermediate evidence states remain sufficiently complete, grounded, and usable across a multi-stage LLM decision pipeline. Using committed Pilot 05 outputs only, the study analyzes a sanitized, CFPB-backed, scaled GLM-5.2 pipeline experiment with controlled evidence-state degradation across decision, audit, and escalation stages. The central result is a divergence between parser validity and evidence-state reliability: parser validity improves under degraded evidence while stage/evidence success deteriorates. This supports the paper's core claim that parser validity is not a sufficient proxy for evidence-state reliability. The contribution is a reproducible empirical framing for reliability cascades in multi-stage LLM decision systems, with paper-ready tables, figures, claim boundaries, and repo-wide validation artifacts. | L17:  || L15:  | L16: LLM evaluation commonly emphasizes final-output validity, parser compliance, or answer-level correctness. In multi-stage decision pipelines, however, downstream outputs may remain parser-valid even when the evidence state reaching the downstream stage has been degraded. This study introduces Evidence-State Reliability as a reliability layer concerned with whether intermediate evidence states remain sufficiently complete, grounded, and usable across a multi-stage LLM decision pipeline. Using committed Pilot 05 outputs only, the study analyzes a sanitized, CFPB-backed, scaled GLM-5.2 pipeline experiment with controlled evidence-state degradation across decision, audit, and escalation stages. The central result is a divergence between parser validity and evidence-state reliability: parser validity improves under degraded evidence while stage/evidence success deteriorates. This supports the paper's core claim that parser validity is not a sufficient proxy for evidence-state reliability. The contribution is a reproducible empirical framing for reliability cascades in multi-stage LLM decision systems, with paper-ready tables, figures, claim boundaries, and repo-wide validation artifacts. | L17:  || L19:  | L20: Evidence-State Reliability; Reliability Cascades; LLM Evaluation; Multi-Stage Decision Pipelines; Parser Validity; Auditability; Escalation; CFPB; Reproducibility; GLM-5.2 | L21:  || L25:  | L26: The problem is especially important in decision pipelines where an upstream evidence packet informs downstream decision, audit, and escalation behavior. A parser-valid output can satisfy the required schema while still being grounded in a degraded evidence state. In such cases, parser validity may provide a false sense of operational reliability. | L27: ",
NOT-005,Stage/evidence success definition,PASS,"L15:  | L16: LLM evaluation commonly emphasizes final-output validity, parser compliance, or answer-level correctness. In multi-stage decision pipelines, however, downstream outputs may remain parser-valid even when the evidence state reaching the downstream stage has been degraded. This study introduces Evidence-State Reliability as a reliability layer concerned with whether intermediate evidence states remain sufficiently complete, grounded, and usable across a multi-stage LLM decision pipeline. Using committed Pilot 05 outputs only, the study analyzes a sanitized, CFPB-backed, scaled GLM-5.2 pipeline experiment with controlled evidence-state degradation across decision, audit, and escalation stages. The central result is a divergence between parser validity and evidence-state reliability: parser validity improves under degraded evidence while stage/evidence success deteriorates. This supports the paper's core claim that parser validity is not a sufficient proxy for evidence-state reliability. The contribution is a reproducible empirical framing for reliability cascades in multi-stage LLM decision systems, with paper-ready tables, figures, claim boundaries, and repo-wide validation artifacts. | L17:  || L35:  | L36: Pilot 05 provides scaled, CFPB-backed, sanitized, real GLM-5.2 evidence that controlled evidence-state degradation produces measurable reliability-layer changes across decision, audit, and escalation stages. In this run, parser validity improved under degraded evidence while stage/evidence success deteriorated, supporting Evidence-State Reliability as distinct from parser validity. | L37:  || L83:  | L84: The literature supports a combination-and-operationalisation contribution rather than a global-priority claim. The paper combines controlled evidence-state degradation, a decision–audit–escalation pipeline, stage-specific reliability measurement, parser-versus-evidence comparison, and recovery analysis in one reproducible experimental design. Its strongest contribution is the committed empirical pattern that parser validity increased while evidence-sensitive stage success deteriorated within Pilot 05. Adjacent research narrows the claim but does not eliminate this specific operational and empirical contribution. | L85:  || L173:  | L174: The central empirical finding is a divergence between parser validity and evidence-state reliability. Under controlled evidence-state degradation, parser validity improves while stage/evidence success deteriorates. This means parser validity cannot be used as a sufficient proxy for reliability in this pipeline. | L175:  || L254: 1. **Conceptual layer**: Evidence-State Reliability as distinct from final-output validity. | L255: 2. **Empirical pattern**: Parser validity improves under degraded evidence while stage/evidence success deteriorates. | L256: 3. **Pipeline framing**: Reliability is measured across decision, audit, and escalation stages.",
NOT-006,Reliability cascade definition,PASS,"L49:  | L50: A reliability cascade occurs when degradation at one stage changes downstream behavior across decision, audit, or escalation stages. In this framing, the unit of concern is not only the final answer. The concern is the pipeline state that connects stages. | L51:  || L71:  | L72: Interactive-agent benchmarks and RAG evaluation frameworks motivate component-aware evaluation in multi-component systems (Liu et al., 2024; Es et al., 2024; Saad-Falcon et al., 2024). Cascading failure is also an established systems concept (Motter and Lai, 2002), and emerging LLM preprints study seeded-error and hallucination propagation in multi-agent collaboration (Xie et al., 2026, preprint; Jamshidi et al., 2026, preprint). “Reliability cascade” is therefore used here in a deliberately narrower experimental sense: condition-linked reliability changes across decision, audit, and escalation under a controlled evidence-state intervention. The study does not claim to invent cascade theory or establish deployed-system causality. | L73: ",
NOT-007,Controlled evidence degradation,PASS,"L15:  | L16: LLM evaluation commonly emphasizes final-output validity, parser compliance, or answer-level correctness. In multi-stage decision pipelines, however, downstream outputs may remain parser-valid even when the evidence state reaching the downstream stage has been degraded. This study introduces Evidence-State Reliability as a reliability layer concerned with whether intermediate evidence states remain sufficiently complete, grounded, and usable across a multi-stage LLM decision pipeline. Using committed Pilot 05 outputs only, the study analyzes a sanitized, CFPB-backed, scaled GLM-5.2 pipeline experiment with controlled evidence-state degradation across decision, audit, and escalation stages. The central result is a divergence between parser validity and evidence-state reliability: parser validity improves under degraded evidence while stage/evidence success deteriorates. This supports the paper's core claim that parser validity is not a sufficient proxy for evidence-state reliability. The contribution is a reproducible empirical framing for reliability cascades in multi-stage LLM decision systems, with paper-ready tables, figures, claim boundaries, and repo-wide validation artifacts. | L17:  || L35:  | L36: Pilot 05 provides scaled, CFPB-backed, sanitized, real GLM-5.2 evidence that controlled evidence-state degradation produces measurable reliability-layer changes across decision, audit, and escalation stages. In this run, parser validity improved under degraded evidence while stage/evidence success deteriorated, supporting Evidence-State Reliability as distinct from parser validity. | L37:  || L75:  | L76: Algorithmic-audit research emphasizes lifecycle accountability, documentation, traceability, and institutional processes (Raji et al., 2020). The computational audit stage in Pilot 05 is much narrower and must not be equated with organizational or regulatory audit. Selective prediction and learning-to-defer likewise establish abstention and expert deferral as distinct downstream decision functions (Geifman and El-Yaniv, 2019; Mozannar and Sontag, 2020). Pilot 05 asks a different bounded question: whether escalation recovers after controlled evidence degradation. It does not establish an optimal escalation policy. | L77:  || L83:  | L84: The literature supports a combination-and-operationalisation contribution rather than a global-priority claim. The paper combines controlled evidence-state degradation, a decision–audit–escalation pipeline, stage-specific reliability measurement, parser-versus-evidence comparison, and recovery analysis in one reproducible experimental design. Its strongest contribution is the committed empirical pattern that parser validity increased while evidence-sensitive stage success deteriorated within Pilot 05. Adjacent research narrows the claim but does not eliminate this specific operational and empirical contribution. | L85:  || L89:  | L90: This study evaluates Evidence-State Reliability in a multi-stage LLM decision pipeline. The pipeline is organized around decision, audit, and escalation stages. The empirical design compares pipeline behavior under controlled evidence-state degradation against behavior under non-degraded evidence-state conditions. | L91: ",
NOT-008,Decision stage,PASS,"L103:  | L104: 1. **Decision stage**: produces an initial downstream decision/assessment from the evidence state. | L105: 2. **Audit stage**: evaluates whether the evidence and decision state should trigger detection or concern. This computational stage is narrower than lifecycle or organizational algorithmic auditing (Raji et al., 2020). || L193:  | L194: The audit and escalation outputs show how degradation affects downstream pipeline behavior after the initial decision stage. | L195: ",
NOT-009,Audit stage,PASS,"L75:  | L76: Algorithmic-audit research emphasizes lifecycle accountability, documentation, traceability, and institutional processes (Raji et al., 2020). The computational audit stage in Pilot 05 is much narrower and must not be equated with organizational or regulatory audit. Selective prediction and learning-to-defer likewise establish abstention and expert deferral as distinct downstream decision functions (Geifman and El-Yaniv, 2019; Mozannar and Sontag, 2020). Pilot 05 asks a different bounded question: whether escalation recovers after controlled evidence degradation. It does not establish an optimal escalation policy. | L77:  || L104: 1. **Decision stage**: produces an initial downstream decision/assessment from the evidence state. | L105: 2. **Audit stage**: evaluates whether the evidence and decision state should trigger detection or concern. This computational stage is narrower than lifecycle or organizational algorithmic auditing (Raji et al., 2020). | L106: 3. **Escalation stage**: evaluates whether downstream recovery or escalation behavior succeeds under degraded evidence conditions. Treating escalation separately is consistent with selective-prediction and learning-to-defer research, without implying that the present policy is optimal (Geifman and El-Yaniv, 2019; Mozannar and Sontag, 2020).",
NOT-010,Escalation stage,PASS,"L105: 2. **Audit stage**: evaluates whether the evidence and decision state should trigger detection or concern. This computational stage is narrower than lifecycle or organizational algorithmic auditing (Raji et al., 2020). | L106: 3. **Escalation stage**: evaluates whether downstream recovery or escalation behavior succeeds under degraded evidence conditions. Treating escalation separately is consistent with selective-prediction and learning-to-defer research, without implying that the present policy is optimal (Geifman and El-Yaniv, 2019; Mozannar and Sontag, 2020). | L107: ",
